Path1,Column A,Column B,Column C,,name,CSV Reference,Paste Embed Code in This Column,Share Link,drill_category,drill_game_states,description,SOLIDIFICATION NUMBERS,Safe Name W/O Comma's,,tags,Quoted Description,createdDate,lastUpdated
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - Top Shallow Cut,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=1e4PDYLKCgdfJkY0shB9"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=1e4PDYLKCgdfJkY0shB9,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The top fade is used by the player up top to give the dodger room over the top.  We are going to show it with a backside Cut and separate because it will maintain great spacing.",436,PSO - 14 - Top Shallow Cut,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The top fade is used by the player up top to give the dodger room over the top.  We are going to show it with a backside Cut and separate because it will maintain great spacing.""",2021-01-25T21:42:40.650Z,2025-04-16T06:42:36.328Z
Offense,Offense,Penn State Offense,1-4-1 Wing Pairs,Off Ball,PSO - 14 - X Hang Up Games,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=eLSP3nNMUrhg51qWAZT5"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=eLSP3nNMUrhg51qWAZT5,,,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The player at X will play hang up games with his defenseman by fading away to give room to the dodger while enticing the defenseman to slide so he can push Backside after a pass.

We will see the hang up games with a Mirror Motion -  Backside Cut and Separate -  and Top Fade.",437,PSO - 14 - X Hang Up Games,PSO,Offense,"""The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

For our backside looks -  we will have the back side pairs use a mirror Motion -  but this could be a Pick as well.

The player at X will play hang up games with his defenseman by fading away to give room to the dodger while enticing the defenseman to slide so he can push Backside after a pass.

We will see the hang up games with a Mirror Motion -  Backside Cut and Separate -  and Top Fade.""",2021-01-03T14:31:06.260Z,2024-03-06T02:36:30.972Z
Offense,,Offense,2 Man Ideas,Compress and Explode,C&E - Ball Carrier Reads,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=UwjuhWFe5cy7Y8DvZx8n"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=UwjuhWFe5cy7Y8DvZx8n,,,,302,C&E - Ball Carrier Reads,C&E,,,2021-03-18T20:27:31.053Z,2025-02-20T13:47:16.425Z
Offense,,Offense,2 Man Ideas,Compress and Explode,C&E - Visualize Layers,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=qpYsWuutqTOm16PrwNNu"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=qpYsWuutqTOm16PrwNNu,,,Layers refers to sections of the field moving from ball side to backside. The more layers we can actively playing in the more advanced our offense will be.  More Layers = Faster play.,301,C&E - Visualize Layers,C&E,Offense,Layers refers to sections of the field moving from ball side to backside. The more layers we can actively playing in the more advanced our offense will be.  More Layers = Faster play.,2021-03-18T20:31:54.651Z,2025-02-01T19:55:55.857Z
Offense,,Offense,2-2-2 Set,Top,2-2-2 - 1 Top - Adjacent Slide,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ZhXHxG5447ueIyKWGFBP"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=ZhXHxG5447ueIyKWGFBP,,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,316,2-2-2 - 1 Top - Adjacent Slide,2-2-2,Offense,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,2021-04-29T16:07:49.012Z,2024-01-03T00:42:12.000Z
Offense,,Offense,2-2-2 Set,Top,2-2-2 - 1 Top - Dodge,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=K8oyX7CKFryEYhPgtJKf"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=K8oyX7CKFryEYhPgtJKf,,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,317,2-2-2 - 1 Top - Dodge,2-2-2,Offense,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,2021-03-03T03:09:01.650Z,2025-01-27T01:04:32.333Z
Offense,,Offense,2-2-2 Set,Top,2-2-2 - 1 Top - Dodge Fade & Swing,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=6k885NPgCZh5KVgWMLFF"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=6k885NPgCZh5KVgWMLFF,,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,318,2-2-2 - 1 Top - Dodge Fade & Swing,2-2-2,Offense,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,2021-04-29T16:00:33.112Z,2024-01-11T17:17:31.000Z
Offense,,Offense,2-2-2 Set,Top,2-2-2 - 2 Dodge - Pick,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=PxeBrTRInPLvANFUhCCh"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=PxeBrTRInPLvANFUhCCh,,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,319,2-2-2 - 2 Dodge - Pick,2-2-2,Offense,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,2021-04-16T03:35:28.362Z,2023-12-05T02:30:13.626Z
Offense,,Offense,2-2-2 Set,Top,2-2-2 - 3 Top - Pick,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=H5Qhr17Un218ZQadC8mM"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=H5Qhr17Un218ZQadC8mM,,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,320,2-2-2 - 3 Top - Pick,2-2-2,Offense,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,2021-03-03T04:06:49.043Z,2023-12-03T00:18:55.481Z
Offense,,Offense,2-2-2 Set,Sides,2-2-2 - Sides,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=zK0n9iAq9cvVDz0kHaXm"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=zK0n9iAq9cvVDz0kHaXm,,,2-2-2 sides is a wing picks and fades set.,315,2-2-2 - Sides,2-2-2,Offense,2-2-2 sides is a wing picks and fades set.,2021-03-03T04:36:43.344Z,2025-03-08T18:59:10.720Z
Offense,,Offense,2-2-2 Set,Center,2-2-2 Center - Up Picks,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=uqYAlN8mbHX4F4PJKX8F"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=uqYAlN8mbHX4F4PJKX8F,,,Center is a set we will pick from the inside out on separate sides.,314,2-2-2 Center - Up Picks,2-2-2 Center,Offense,Center is a set we will pick from the inside out on separate sides.,2021-03-03T04:14:45.439Z,2024-08-11T13:48:03.830Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Base,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",321,1-4-1 Base,1-4-1 Base,Intermediate - Whole Unit (8+) - Offense,"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-13T20:28:03.471Z,2024-02-20T17:11:38.868Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Shifted Triangles - Left Wing Dodge,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=rNf2I3YNj56OcfwCSEDi,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",322,1-4-1 Shifted Triangles - Left Wing Dodge,1-4-1 Shifted Triangles,Intermediate - Whole Unit (8+) - Offense,"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-13T20:45:48.571Z,2024-02-20T17:17:33.891Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Shifted Triangles - Right Wing Dodge,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=abSVUhjsb6NSV8XI1ipG,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",324,1-4-1 Shifted Triangles - Right Wing Dodge,1-4-1 Shifted Triangles,Intermediate - Whole Unit (8+) - Offense,"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-13T21:28:56.228Z,2024-02-20T17:13:23.865Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Shifted Triangles - Right Wing Dodge,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=NeaEqBJkXDx358GjlqyF,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",325,1-4-1 Shifted Triangles - Right Wing Dodge,1-4-1 Shifted Triangles,Intermediate - Whole Unit (8+) - Offense,"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-13T20:59:01.880Z,2024-02-13T21:03:37.848Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Shifted Triangles - Right Wing Dodge,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=XHHNMqlDKKr5VH76QuZK,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",323,1-4-1 Shifted Triangles - Right Wing Dodge,1-4-1 Shifted Triangles,Intermediate - Whole Unit (8+) - Offense,"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-20T16:36:10.679Z,2025-06-02T23:13:23.109Z
Offense,,Offense,21-12 Motion Offense,1-4-1 Shifted Triangles Offense,1-4-1 Shifted Triangles - Top Dodge,4,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg"" style=""max-width: 100%""></iframe>",https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg,,,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.",327,1-4-1 Shifted Triangles - Top Dodge,1-4-1 Shifted Triangles,Offense - Intermediate - Read-and-React - Whole Unit (8+),"""This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.
""",2024-02-13T20:38:54.250Z,2025-06-02T23:13:54.596Z
