Lacrosse Lab Name,ID,Video Sheet Name
"Fade and Follow vs Zone",33,"Beat Your Man and Score vs Zone Defense"
"2-2-2 - 2 Dodge - Pick",137,"2 Man Game - The Perfect Pick"
"Pass Into Dodge - 1-3 Zone",66,"East West Dodging in Lacrosse"
"21 | Turbo Cut",183,"21-12 Motion Offense in 5 Minutes"
"2-2-2 - 1 Top - Adjacent Slide",182,"Virginia's 2-2-2 From X - Players Cut"
"4 Man Rotation vs 3-3 Swing",20,"4 Man Rotation"
"2-2-2 - 1 Top - Dodge",97,"Wind Up Dodging in Lacrosse"
"PSO - 14 - Pick Motion",6,"1-4-1 Wing Pairs Offense"
"21 | Up Pick and Fade",27,"7v7 Up Pick Nations"
"21 | Dodge - Flare",97,"Wind Up Dodging in Lacrosse"
"OSP - Wing Motion - Mirror",103,"Ohio State Pairs Offense"
"Duke Fade and Follow - Alley to Up Pick",64,"Duke Fade and Follow Offense"
"L - Fast Break - L/R Point",146,"UNC's 3 Man Slow Break Offense"
"21 | Sweep - Shallow Cut - Float",97,"Wind Up Dodging in Lacrosse"
"12 | Carolina 1 (Fake Pick to ISO)",105,"2 Man Game - Pick Locations"
"Defending 1-4-1 Isolation Dodges",54,"Defending 2 Man games"
"OSP - X Mirror",103,"Ohio State Pairs Offense"
"3-3 Zone Ride",138,"The Riding Playbook"
"PSO - 14 - Mirror, Won’t Slide",6,"1-4-1 Wing Pairs Offense"
"CoMa Slide and Recover",51,"Crease Slide Basics"
"Dodge - Clear Through - Follow From X",97,"Wind Up Dodging in Lacrosse"
"RIT Zone vs 3-1-2 Carry Step Off to Open (Rotate)",153,"Wild Cat Trap Zone Defense"
"OSP - Movement Rules - Holds and Resets",103,"Ohio State Pairs Offense"
"DF&F Looks - Skip to Corners",64,"Duke Fade and Follow Offense"
"5 Man Rotation vs 3-3 Swing",24,"5 Man Rotation Man Down Defense"
"Strong Hand Alley vs Weak Hand Funnel",114,"RIT's Championship Tiger Zone"
"2-2-2 - Sides",182,"Virginia's 2-2-2 From X - Players Cut"
"PSO - 14 - X Hang Up Games",6,"1-4-1 Wing Pairs Offense"
"12 | Fade - Fade - Cut The Middle",183,"21-12 Motion Offense in 5 Minutes"
"4 Man Rotation vs 2-2-2 Swing",20,"4 Man Rotation"
"OSP - Wing Motion - Carry Shallow Cut",185,"21 12 Motion Offense Modification"
"DFF Looks - Draw and Dump Adjacent",64,"Duke Fade and Follow Offense"
"RIT Zone vs 2-3-1 - Pressing at X",153,"Wild Cat Trap Zone Defense"
"DF&F Looks - Turn Corner 2v1",61,"Duke Motion"
"Jay’s - 4 Man Wheel and Seal",161,"3-3 4 Man Wheel Man Up Offenses"
"12 | Wing Dodge - Fade - Cut The Middle",52,"Cuse Motion Offense"
"4 Man Rotation vs 1-4-1 Man Up Swing",21,"4 Man Rotation Man Down Defense"
"5 Man Rotation vs 1-4-1 Man Up Swing",24,"5 Man Rotation Man Down Defense"
"PSO - 14 - Top Fade",6,"1-4-1 Wing Pairs Offense"
"Pick the Zone - Top Center",27,"7v7 Up Pick Nations"
"PSO - 14 - Backside Cut and Separate",6,"1-4-1 Wing Pairs Offense"
"4-3 Alpha Clear with 2 Subs (Off Box)",19,"4-3 Alpha Clear"
"Box and 1 Zone vs 3-3 Swing",36,"Box and 1 Zone Man Down Defense"
"Push From X",70,"Attacking Gaps and Softspots vs Zone Defense"
"4-3 Alpha Clear with 2 Subs (Box Side)",19,"4-3 Alpha Clear"
"5 Man Rotation vs 2-2-2 Swing",20,"4 Man Rotation"
"4 Man Rotation vs 2-3-1 Swing",20,"4 Man Rotation"
"PSO - 3H - Crease Mirror Motion",15,"3 High Pairs Offense"
"PSO - PB - Picks Behind",185,"21 12 Motion Offense Modification"
"Rush Play - Power Play - Righty Finish",39,"Box Man Up Play - Double Picks"
"OSP - Picks Behind",103,"Ohio State Pairs Offense"
"Open - Swing Communication and Responsibility.",55,"Defending Hang Ups at X"
"RIT Zone vs 3-1-2 Swing",153,"Wild Cat Trap Zone Defense"
"3-3 Swing",144,"3-3 Twist"
"Diamond Clear (Skeleton)",47,"Clear Pass Terminology"
"1-4-1 Base",,
"1-4-1 Shifted Triangles - Left Wing Dodge",,
"1-4-1 Shifted Triangles - Right Wing Dodge",,
"1-4-1 Shifted Triangles - Right Wing Dodge",,
"1-4-1 Shifted Triangles - Right Wing Dodge",,
"1-4-1 Shifted Triangles - Top Dodge",,
"1-4-1 Shifted Triangles - X Dodge",,
"2-2-3 Clear (Skeleton)",,
"PSO - 3H - Crease Up Pick",,
"PSO - 3H - Dodge to Score",,
"PSO - 3H - Draw and Swing to Backside",,
"PSO - 3H - Low Pair Clear Through and Fill",,
"PSO - 3H - Low Pair Crease Overlap",,
"PSO - 3H - Low Pair Fade and Cut The Middle",,
"PSO - 3H - Low Pair Hang Up Games",,
"PSO - 3H - Low Pair Stacked Exchange",,
"PSO - 3H - Top Pick Motion",,
"10 MR - 1st Level Turnovers",,
"10 MR - 2nd Level Doubles",,
"10 MR - 3rd Level Doubles",,
"10 MR - Bumping Up The Pole",,
"10 MR - Switching the Field",,
"PSO - PB - Razor Picks",,
"PSO - PB - Slam Picks",,
"2 Down Windshield Wiper Ride",,
"2DR - Windshield Wiper",,
"12 | Clear Through - Fill - Fill",,
"12 | Dodge - Clear Through - Follow",,
"12 | Weave",,
"1 on Crease - Swing Communication and Responsibility.",,
"2 on Crease - Swing Communication and Responsibility.",,
"Up Pick Nations - Righty Finish",,
"Defending 1-4-1 Double Mumbo’s Play",,
"Defending Wing Picks in 1-4-1",,
"1-4-1 Man Up Swing",,
"2-2-2 - 1 Top - Dodge Fade & Swing",,
"2-2-2 - Swing",,
"2-2-2 Swing",,
"2-3-1 Curl From X - Draw and Dump",,
"2-3-1 Curl From X - Fake and Curl",,
"2-3-1 Curl From X - Give and Go",,
"2-3-1 Curl From X - No Look Skip",,
"2-3-1 Swing",,
"21-12 PDF Example Offense",,
"4 Man Side Wheel - Forward 3v2",,
"4 Man Top Wheel - Back and Forth",,
"4 Man Top Wheel - Lock Off Carry",,
"5 Man Rotation vs 2-3-1 Swing",,
"Base - Accept a Pass",,
"Base - Gain Possession",,
"Box and 1 vs 1-4-1 Man Up Swing",,
"Box and 1 vs 2-2-2 Swing",,
"Box and 1 vs 2-3-1 Swing",,
"Box and 1 vs 3-3 Swing",,
"Box and Lock vs 3-3 Swing",,
"Box and Surprise Lock vs 2-2-2 Swing",,
"Box and Surprise Lock vs 2-3-1 Swing",,
"Denver Open to 3-3",,
"DENVER Shifted 2-2-2 to 3-3 Man Up Off Ball Slip",,
"DFF Looks - 3x Rollback to Pick",,
"DFF Looks - Turn The Corner",,
"Duke Scissor Cut Motion (O’Niel Goal that Beat Denver)",,
"FO - Black (Pull Side Wing)",,
"FO - Connect after GB",,
"FO - Green (Pull to Self)",,
"FO - Pass Back & Clear",,
"FO - White (Off Side Wing)",,
"Goalie Ride",,
"House Zone vs 1-4-1 Man Up Swing",,
"House Zone vs 2-2-2 Swing",,
"House Zone vs 2-3-1 Swing",,
"House Zone vs 3-3 Swing",,
"L - Clear (Skeleton)",,
"Ladder Clear (Skeleton)",,
"Maroon Open Set Play",,
"OSP - LaxCon Example",,
"OSP - Wing Rotation - Cut The Middle and Fill",,
"OSP - Wing Rotation - Exchange",,
"OSP - Wing Rotation - Fade and Cut The Middle",,
"OSP - Wing Rotation - Mumbo / Flare",,
"OSP - Wing Rotation - Off Ball Picks",,
"OSP - X Rotation - Clear Through and Fill",,
"OSP - X Rotation - Fade and Cut The Middle",,
"OSP - X Rotation - Pop and Step Off",,
"Pepper Jack",,
"Picking to Sub Through the Midline",,
"PSO - 14 - Backside Exchange",,
"PSO - 14 - Top Cut The Middle",,
"PSO - 14 - Top Shallow Cut",,
"PSO - 3H - Backside Exchange Rotation",,
"PSO - PB - Draft Cuts",,
"PSO - PB - Fade",,
"PSO - PB - Float Cut",,
"PSO - PB - Razor Pick / Scissor Cut",,
"PSO - PB - Razor Picks",,
"PSO - PB - Scissor Cuts",,
"PSO - PB - Seal and Pop",,
"PSO - PB - Slam Pick / Seal Pop",,
"PSO - PB - Slip Pick",,
"Riding Objectives",,
"Rutgers 2-2-2 Scissor Cuts Play",,
"Shorty Low Clear (Punt Return)",,
"Terminology Clear",,
"Trick Clear Attack Over Substitution Clear",,
"Wild Cat Alley Dodge Trap and Rotate vs 2-3-1",,
"Zero Ride - Whole Sale",,
