Vimeo Connection ID,Strategy Categories,Strategy Name,Lacrosse Lab Link,description,Paste Embed Code in This Column
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ztvLNlzQaAM5ECRK9Eg"" style=""max-width: 100%""></iframe>"
4,Offense,1-4-1 Shifted Triangles Offense,https://lacrosse.labradorsports.com/play?l=FtpyPAVRBpnLljq6b9Xp,"This is the base for the 21-12 -  1-4-1 shifted triangles offense.

The rules for this offense are as follows. 

The players are divided into midfield and attack groups of 3 players.
Motions are movements made when your group has the ball -  rotations are movements made with the other group has the ball.

We are using push pull -  motions -  exclusively. So if a player in your group is dodging -  and you are behind them -  they will pull you and  you must follow. If you are in front of them they will push you into the middle. The crease player will always float out the back side.

Dodgers can go any direction -  but if they dodge out of their box -  they need to get back to the crease once they move the ball. 

The only rotation we are using is backside exchange linear exchange. So -  wherever the Dodge happens from -  the player on the opposite side of the field -  and the crease player will switch places.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=FtpyPAVRBpnLljq6b9Xp"" style=""max-width: 100%""></iframe>"
82,Riding,10 Man Ride,https://lacrosse.labradorsports.com/play?l=MA4KYHrD0ljXcilWfuXy,To create the time it takes to get into the 1 Man Ride -  we must get in the face Of the first ball carrier so they can’t get up and out Early.  Once the ball is passed adjacent -  we can press up to cause turnovers.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=MA4KYHrD0ljXcilWfuXy"" style=""max-width: 100%""></iframe>"
82,Riding,10 Man Ride,https://lacrosse.labradorsports.com/play?l=mGNeYgNq7wbEuUBh3v3f,We will create turnovers in the second level by doubling with our attackmen and midfielders.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=mGNeYgNq7wbEuUBh3v3f"" style=""max-width: 100%""></iframe>"
82,Riding,10 Man Ride,https://lacrosse.labradorsports.com/play?l=3MVmxxCPw7qZbiXPkUbw,If a player carries over the midline while in a double we must stay on that double and not let them free their hands. Think of it in the same way we would be doubling at the end of the game to get the ball back.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=3MVmxxCPw7qZbiXPkUbw"" style=""max-width: 100%""></iframe>"
82,Riding,10 Man Ride,https://lacrosse.labradorsports.com/play?l=Sv9VxjkK3vZBVzrSGzbG,To get into the 10 Man Ride -  the goalie will bump up a succession of players to the field.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Sv9VxjkK3vZBVzrSGzbG"" style=""max-width: 100%""></iframe>"
82,Riding,10 Man Ride,https://lacrosse.labradorsports.com/play?l=A0b6YHplRGT7UG0oaq2U,If all of the clearing players are in front of the midline -  we have to get a midfielder back before the pole can go over. When this happens we will have to alternate which side of the field has a midfielder back in order to press up to the defenseman.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=A0b6YHplRGT7UG0oaq2U"" style=""max-width: 100%""></iframe>"
184,Offense - Set Plays,14 Double Mumbo Set Play,,,
138,Riding,2 Down (Windshield Wiper),https://lacrosse.labradorsports.com/play?l=RkMWaLbarcxizqi0yxPR,The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackme must chase so that when a midfielder turns them back they will have the opportunity to double.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=RkMWaLbarcxizqi0yxPR"" style=""max-width: 100%""></iframe>"
138,Riding,2 Down (Windshield Wiper),https://lacrosse.labradorsports.com/play?l=FSL5dUinU0xYkVdNwYps,The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackmeb must chase so that when a midfielder turns them back they will have the opportunity to double.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=FSL5dUinU0xYkVdNwYps"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=Z2kgYCeYuETMCDSbSnQg,A shallow cut creates space for the dodger by moving under the dodge.  This helps to keep his defenseman away from the dodger.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Z2kgYCeYuETMCDSbSnQg"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=XeGBaagrFgUQ51EwCD2L,"2 Man Game Concept - Fade / Drift

Players will fade to create space for when the dodger is running at them.  They will move on the edge of dangerous space and their defenseman will be in a tough decision of whether they should slide or not.  

The dodger should try to turn the corner and get to the middle of the field -  throw fakes to keep the slide away -  and pass if the slide comes.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=XeGBaagrFgUQ51EwCD2L"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=Q46W6F6QDGXBI0BGHTNl,"2 Man Game Concept - Give and Go.

One player will pass to another and then cut to the goal.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Q46W6F6QDGXBI0BGHTNl"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=ZoZhX6d5CCCEGKmloqIY,"2 Man Game Concept - Mirror

A player on the crease executes a mirror by moving to the opposite the dodge.  The mirror works well because it puts a defensive player in a prime positon to slide.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ZoZhX6d5CCCEGKmloqIY"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=PzDjbVSbBoUkLZUFt6ia,"2 Man Game Concept - Overlap

An overlap is when the off ball player creates space by running to the outside of the ball carrier.  This is dangerous because the off-ball defenseman can execute a ""Free Double"" if the offensive players are not elusive.  A free double happens when an off-ball player can double the ball while being in a good off-ball position on their man.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=PzDjbVSbBoUkLZUFt6ia"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - With Ball,https://lacrosse.labradorsports.com/play?l=yv6FGwQDjOrGTJueJxyp,"2 Man Game Concept - Pick

A pick is used to create an advantage for the ball carrier or the off ball players.  The off-ball player will stand still in the way of the on-ball defenseman.  The on ball defenseman will need to try to get around the pick and the off-ball player must decide whether the on ball player needs help.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=yv6FGwQDjOrGTJueJxyp"" style=""max-width: 100%""></iframe>"
8,2 Man Ideas,2 Man - With Ball,,,
145,2 Man Ideas,2 Man - Without Ball,https://lacrosse.labradorsports.com/play?l=YrmMwaaNYGhuKLxITCsV,A “Draft Cut” is when a player Cuts in the wake of another Cut.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=YrmMwaaNYGhuKLxITCsV"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - Without Ball,https://lacrosse.labradorsports.com/play?l=cwCPkQF4hA1Ck9ycNxQ2,A Mumbo is when an off ball offensive player seals their own Man into the Middle of the field for a player popping off the crease around them.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=cwCPkQF4hA1Ck9ycNxQ2"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - Without Ball,https://lacrosse.labradorsports.com/play?l=t5aLiwlI7OthmeTgn2x4,An “Off Ball Pick” happens when an off ball player impedes the Motion off an off ball player to create space for a teammate.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=t5aLiwlI7OthmeTgn2x4"" style=""max-width: 100%""></iframe>"
145,2 Man Ideas,2 Man - Without Ball,https://lacrosse.labradorsports.com/play?l=b1VtJIUltMcsdJV6H94R,A seal is when an off ball offensive player impedes the movement of the defenseman off another off ball player.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=b1VtJIUltMcsdJV6H94R"" style=""max-width: 100%""></iframe>"
10,Man Down,2 Men Down,,,
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=sJK7dubOxdoD4KKDVzvv,Top - is a 2-2-2 initiation where the players up top set the initial pick.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=sJK7dubOxdoD4KKDVzvv"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=uqYAlN8mbHX4F4PJKX8F,Center is a set we will pick from the inside out on separate sides.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=uqYAlN8mbHX4F4PJKX8F"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=zK0n9iAq9cvVDz0kHaXm,2-2-2 sides is a wing picks and fades set.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=zK0n9iAq9cvVDz0kHaXm"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=ZhXHxG5447ueIyKWGFBP,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ZhXHxG5447ueIyKWGFBP"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=K8oyX7CKFryEYhPgtJKf,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=K8oyX7CKFryEYhPgtJKf"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=6k885NPgCZh5KVgWMLFF,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=6k885NPgCZh5KVgWMLFF"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=PxeBrTRInPLvANFUhCCh,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=PxeBrTRInPLvANFUhCCh"" style=""max-width: 100%""></iframe>"
,Offense,2-2-2 Set,https://lacrosse.labradorsports.com/play?l=H5Qhr17Un218ZQadC8mM,2-2-2 Top is how we will initiate from up top out of the 2-2-2.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=H5Qhr17Un218ZQadC8mM"" style=""max-width: 100%""></iframe>"
,Man Up,2-3-1 Curl from X,https://lacrosse.labradorsports.com/play?l=YIa3QWrLQZdLwlhojSGG,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl draws the low zone and dumps to the wing for a step down.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=YIa3QWrLQZdLwlhojSGG"" style=""max-width: 100%""></iframe>"
,Man Up,2-3-1 Curl from X,https://lacrosse.labradorsports.com/play?l=SzECBjIc1xLUicho5G45,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl fakes a pass to the wing to keep the defenseman away and curls the side.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=SzECBjIc1xLUicho5G45"" style=""max-width: 100%""></iframe>"
,Man Up,2-3-1 Curl from X,https://lacrosse.labradorsports.com/play?l=OfGKJ7pNlUv7zDKsPhv0,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl from x will pass to the wing early to keep the low right zone on the wing -  receive a pass back as he curls -  catch and score.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=OfGKJ7pNlUv7zDKsPhv0"" style=""max-width: 100%""></iframe>"
,Man Up,2-3-1 Curl from X,https://lacrosse.labradorsports.com/play?l=jN6UY5EnEWIM1LXgrp0E,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl draws the low zone and looks at the wing to draw the top zone to the wing and passes to the top right player cutting behind the top right zone.","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=jN6UY5EnEWIM1LXgrp0E"" style=""max-width: 100%""></iframe>"
185,,21 12 Motion Offense Modification,,,
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=x3B5sOE9Od6XHtCW6FqC,This is a way to isolate a dodge with a fake 2 Man Game on the opposite side.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=x3B5sOE9Od6XHtCW6FqC"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=VaAuMW9cduW6pb6xVqRK,Carry Shallow Cuts are a great introduction to motion offensive tactics.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=VaAuMW9cduW6pb6xVqRK"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=nYK0L0G8T25zRSeprmuW,Dodge - Clear Through - Follow is a triangle offensive concept with dodges from top center and x.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=nYK0L0G8T25zRSeprmuW"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=AEonO4l6HDM4HhdvW4MF,An Overlap happens when an off ball player runs by the ball carrier when he is on the outside of the field (farther away from the goal). This can be dangerous because it allows the off ball player to “free double” (when a defenseman can double the ball carrier while maintaining a good off ball position on their man).  The offense will move quickly and use flips or fake flips to manipulate the defenseman.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=AEonO4l6HDM4HhdvW4MF"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=OK7fpunWWYJMgojgPQxt,Pass Down Pick Down,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=OK7fpunWWYJMgojgPQxt"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=zmUylf5CPV2xd4sCu83N,The Weave Motion consists of consecutive pass down pick downs to opposite sides.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=zmUylf5CPV2xd4sCu83N"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=MkKORWI58t2Sn6Fl4Kt6,Although most 21-12 dodges are from the 1 position because wing dodges from the 2 are hard to keep symmetrical -  the Wing Dodge - Fade - Cut the Middle is the midfield motion used in the Cuse Offense with an added attackman.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=MkKORWI58t2Sn6Fl4Kt6"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=mqsCOTZwIGJweusnsGjd,The Top Center Cut is a simple rotation where then player top center or at X to the crease.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=mqsCOTZwIGJweusnsGjd"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=ciHuRyw6mmGwxxSQVqOb,A “Clear Out” is when the nearest player in the other group will move to the crease but the other players will stay where they are.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ciHuRyw6mmGwxxSQVqOb"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=mqsCOTZwIGJweusnsGjd,The Clear Through Fill - Fill rotation clears out the entire side to allow dodgers to operate and it prepares for the next 21 Motion.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=mqsCOTZwIGJweusnsGjd"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=ciHuRyw6mmGwxxSQVqOb,The Fade -  Push -  Cut the Middle Rotation is a part of the triangle offense and clears the side by moving away rather than moving to the middles. This creates a great opportunity with the backside player to cutting the middle.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ciHuRyw6mmGwxxSQVqOb"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=3kSBdCP2i0j3ER6w0bwy,Flares are a backside seal and pop to the top o the field.  It’s like a Mumbo -  but to the top.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=3kSBdCP2i0j3ER6w0bwy"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=8OldHBiAesIFQ9w3Bogr,The dodge -  follow -  float motion is the primary dodging motion in the triangle offense.  It’s simplicity makes it easy for players to understand when paired with the sweep - fade - float motion.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=8OldHBiAesIFQ9w3Bogr"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=A4RupGDSAwfx14N27B0Y,Dodge - Mirror - Fade is a 2 man mirror motion with a backside fade.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=A4RupGDSAwfx14N27B0Y"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=SagRWY1DjMwWVsp8OZhd,The sweep -  fade -  float motion is the primary dodging motion in the triangle offense.  It’s simplicity makes it easy for players to understand when paired with the dodge - follow - float motion.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=SagRWY1DjMwWVsp8OZhd"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=EqUTr0DL4UPl7DKCxCvA,The Sweep -  Pick -  Float motion used a top center pick and float from the crease.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=EqUTr0DL4UPl7DKCxCvA"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=F0iVyxvs2xecTROmBHZ5,The sweep -  shallow cut -  float motion can easily be paired with the dodge follow float motion so that the high player will always moves to the middle and the crease will always move to the backside.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=F0iVyxvs2xecTROmBHZ5"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=mF9EemE4BZZeQJUMtwds,This motion uses an up pick from the crease and a fade from the opposite top player.  The dodger can dodge down the alley or sweep.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=mF9EemE4BZZeQJUMtwds"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=DEqySRoLHvPRsEXBcUM2,The 21 Backside Exchange keeps the ball side outlet in front of the dodger for an easy redirect to the player poping off the crease.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=DEqySRoLHvPRsEXBcUM2"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=75YQtOJx85GYjJZqFzvc,The 21 Backside Exchange is dangerous against crease slides because the player who is supposed to slide ends up defending the next dodge.,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=75YQtOJx85GYjJZqFzvc"" style=""max-width: 100%""></iframe>"
183,Offense,#REF!,https://lacrosse.labradorsports.com/play?l=gymwPFl3SRQTJi4ISR8R,"In order to create a complete offense -  we must include dodges with all perimeter players in either set. For an example -  we will combine motions and that have the same rules into sets and give those sets a name. Like stated on the previous page -  it is important that the motions use similar rules so that off ball player can react quickly and efficiently once they understand how to play within the concepts.
Regular - All motions are “Push-Pull” motions.
21 Motions - Dodge - Follow - Float and Sweep - Fade - Float
12 Motion - Center Dodge : Dodge - Clear Through - Follow
12 Motion - Wing Dodge : Dodge - Follow - Hold and Dodge - Fade - Cut The Middle
Fade and Cut The Middle Rotations - The closest player in the opposite group will always fade (or Pop) to be the forward outlet (unless they are already out of the way). The backside player will always cut the middle. If they rotate early because they expect the dodge to go one way and it goes the other -  they should maintain their movements and get reset into a 21 or 12 set.
12 Rotation : Fade - Fade - Cut The Middle
21 Rotation : Backside Exchange","<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=gymwPFl3SRQTJi4ISR8R"" style=""max-width: 100%""></iframe>"
13,,21-12 Motion Offense,,,
