name,Vimeo Connection to Map,Reference ID,Strategy Categories,Strategy Name,Lacrosse Lab Link (JSONB Array),description (Combined),Paste Embed Code in This Column (JSONB Array)
"2-3-2 Clear","11","11","Clearing","Skeleton Clears","[""https://lacrosse.labradorsports.com/play?l=ybglIewYELX4sC5kN0Qk""]","The 2-3-2 Clear puts 2 midfielders 10 yards over midfield -  three just goalside of the midline -  and two making up the base of the clear.  The 2-3 2 has become the favorite of many collegiate teams because of how it helps them in the substitution game as well.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ybglIewYELX4sC5kN0Qk\"" style=\""max-width: 100%\""></iframe>""]"
"Penn State Offense","12","12","","Penn State Offense","[]","","[]"
"21-12 Motion Offense","13","13","","21-12 Motion Offense","[]","","[]"
"22 Quick","14","14","Man Up","22 Quick","[]","","[]"
"3 High Pairs Offense","15","15","Offense","#REF!","[""https://lacrosse.labradorsports.com/play?l=RuekRbaan2CUqhtll4S5"",""https://lacrosse.labradorsports.com/play?l=Ull9OC99ZQmxXKVm57M0"",""https://lacrosse.labradorsports.com/play?l=jJwNPLRBWs6bxpUJLqqr"",""https://lacrosse.labradorsports.com/play?l=tg6e8N4y3U1U684TM7fz"",""https://lacrosse.labradorsports.com/play?l=JNitcfavDp6WqqiREtQM"",""https://lacrosse.labradorsports.com/play?l=InskY2kSe6z0yB4aA3Fx"",""https://lacrosse.labradorsports.com/play?l=HKneeXHauRBO3F8X3ycH"",""https://lacrosse.labradorsports.com/play?l=dNKea3SVuc6PUWbgmRJO"",""https://lacrosse.labradorsports.com/play?l=yCn5t6aGFwtyzx9mEpc8"",""https://lacrosse.labradorsports.com/play?l=DgczanKwUJWUaWiOkOxa"",""https://lacrosse.labradorsports.com/play?l=2TU5ZWcNdaSoiVRhkIP1""]","The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The Backside High players will Exchange to set up for the secondary Pick Motion.
 If the top player picks -  this will look like a cycle with the top right player cutting the Middle and the low Player cycling Up to the top.

If the crease Picks -  the top Center player will Fade and the top right player will Cut The Middle. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The 3 High Offense begins with a high wing dodge.   The 2 man Game will come from the crease or top center.

The low pair will begin stacked -  with one on the crease and the other at x -  or with both at x.

When both are at x -  they can hold to swing the ball -  clear through and Fill -  or fade and cut the middle.

When the low pair is stacked -  they can exchange -  the player at X can play hang up games -  and on some more set play pieces -  the crease player can move to the outside and overlap. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

In the 3 High Offense -  dodgers must dodge to score. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

If you draw a slide -  step away and swing it to backside. | The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

Overlap Fake flip.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RuekRbaan2CUqhtll4S5\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Ull9OC99ZQmxXKVm57M0\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=jJwNPLRBWs6bxpUJLqqr\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tg6e8N4y3U1U684TM7fz\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=JNitcfavDp6WqqiREtQM\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=InskY2kSe6z0yB4aA3Fx\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=HKneeXHauRBO3F8X3ycH\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=dNKea3SVuc6PUWbgmRJO\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=yCn5t6aGFwtyzx9mEpc8\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=DgczanKwUJWUaWiOkOxa\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=2TU5ZWcNdaSoiVRhkIP1\"" style=\""max-width: 100%\""></iframe>""]"
"3 Man Gears Offense vs Zone Defense","16","16","Zone Offense","3 Man Gears Offense","[]","","[]"
"3 Man Passing","17","17","","3 Man Passing","[]","","[]"
"3v2 to 4v3 Drill","18","18","","3v2 to 4v3 Drill","[]","","[]"
"4-3 Alpha Clear","19","19","Clearing","4-3 Alpha Clear","[""https://lacrosse.labradorsports.com/play?l=RBc9mdi4tLfkfbcowPq0"",""https://lacrosse.labradorsports.com/play?l=shNMkq6GoftzEgJzobb1"",""https://lacrosse.labradorsports.com/play?l=uL1KeIqhNpdmPgJQgyuU"",""https://lacrosse.labradorsports.com/play?l=9w3xu8rrLDF7d6PYZK7o"",""https://lacrosse.labradorsports.com/play?l=tfLiamARiI3HIcrsapxT""]","Alpha is a term used to describe which player is being guarded by the attackman.  Since most attack men will not cross the midline once we know who is offended by the attachment this player can cross the midline into open space and receive the ball.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=RBc9mdi4tLfkfbcowPq0\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=shNMkq6GoftzEgJzobb1\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=uL1KeIqhNpdmPgJQgyuU\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=9w3xu8rrLDF7d6PYZK7o\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tfLiamARiI3HIcrsapxT\"" style=\""max-width: 100%\""></iframe>""]"
"4 Man Rotation","20","20","Man Up","4 Man Rotation","[]","","[]"
"4 Man Rotation Man Down Defense","21","21","Man Down","4 Man Rotation","[""https://lacrosse.labradorsports.com/play?l=s6Vygm0ZxToW2ExUgwgj"",""https://lacrosse.labradorsports.com/play?l=0zLS5DZXJGAO1tg88yo1"",""https://lacrosse.labradorsports.com/play?l=1Dxh4Jg3sNeu7WaE7PnU"",""https://lacrosse.labradorsports.com/play?l=ekYt4fSiKw6mnq84Ix9G""]","Backside players must spider in to cover the second crease player.

Once they rotate out of this set -  players must be ready to rotate. | Backside players must spider in to cover the second crease player.  Once they rotate off the crease we must be ready to rotate. | Players must rotate quickly and efficiently to get to the hands of the office of players. Be aware of feeds from X | The key is covering skip the lanes from top center to the low corners.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=s6Vygm0ZxToW2ExUgwgj\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=0zLS5DZXJGAO1tg88yo1\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=1Dxh4Jg3sNeu7WaE7PnU\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=ekYt4fSiKw6mnq84Ix9G\"" style=\""max-width: 100%\""></iframe>""]"
"4-3 Clear","22","22","Clearing","L - Clear","[""https://lacrosse.labradorsports.com/play?l=GNEeeT129CT2cHkGsXip"",""https://lacrosse.labradorsports.com/play?l=1JYz497MNemSMN9A9Ht2""]","The L - Clear refers to the formation of the defensive players in the clear.  The defenseman will move form an L as they line up on the wings of each side of the goal and the just goal side of the midline on the off box side.

There are many different types of L clears depending on the formation of the other players.  Here we will show a 4-3 clear -  diamond clear -  and 2-2-3 clear formaions. | The Ladder Clear puts both midfielders on the off box side and tries to move the ball up the ladder.

Teams will clear up the off box side with their midfielders to keep the opposing riding midfielders on the field.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=GNEeeT129CT2cHkGsXip\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=1JYz497MNemSMN9A9Ht2\"" style=\""max-width: 100%\""></iframe>""]"
"5 Man Rotation","23","23","Man Down","5 Man Rotation","[]","","[]"
"5 Man Rotation Man Down Defense","24","24","Man Down","5 Man Rotation","[""https://lacrosse.labradorsports.com/play?l=vAvBzpcKCTELg8drXt7V"",""https://lacrosse.labradorsports.com/play?l=Znjmx9XlGrFn4maVMIYN"",""https://lacrosse.labradorsports.com/play?l=MU9lLZSf0pFU93aIP9z5"",""https://lacrosse.labradorsports.com/play?l=hoYtnmNfoKg0llb7xvKM""]","You won’t really see the 5 Man Until a crease player pops off the crease.

Backside players must spider in to cover the second Kris Blair. | Backside players must spider in to cover the second crease player.  Once they rotate off the crease we will see a more traditional 5 Man. | Players must spider in to cover the crease when the ball is on the other side of the field. | The key are the skips from top Center to low corners.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=vAvBzpcKCTELg8drXt7V\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Znjmx9XlGrFn4maVMIYN\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MU9lLZSf0pFU93aIP9z5\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=hoYtnmNfoKg0llb7xvKM\"" style=\""max-width: 100%\""></iframe>""]"
"5 On a Die Drill","25","25","","5 On a Die Drill","[]","","[]"
"5v4 Continuous Keep Away","26","26","","5v4 Continuous Keep Away","[]","","[]"
"7v7 Up Pick Nations","27","27","Offense","7v7","[""https://lacrosse.labradorsports.com/play?l=fWa3Z4x24GvLq7Zkt8uE""]","A 3 Pass Pick and Roll that works like a charm in 7v7.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=fWa3Z4x24GvLq7Zkt8uE\"" style=\""max-width: 100%\""></iframe>""]"
"7v7 Y Offense","28","28","Offense","7v7","[""https://lacrosse.labradorsports.com/play?l=tLDw3x5K0AsYPpRbsOFP""]","The Y Offense is a simple and effective motion offense. This offense uses the dodge follow float motion with a player at X","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tLDw3x5K0AsYPpRbsOFP\"" style=\""max-width: 100%\""></iframe>""]"
"A Complete Guide To Man Down Defense","29","29","","A Complete Guide To Man Down Defense","[]","","[]"
"Adjacent Slide Basics","30","30","Defense","Adjacent Slide Package","[]","","[]"
"Side 3v2 vs Zone Defense","31","31","Zone Offense","Beat Your Man and Score","[""https://lacrosse.labradorsports.com/play?l=7uAoOTuyKbx00pC6bWeA"",""https://lacrosse.labradorsports.com/play?l=i7GSgzit5zVhUOdtnXyP"",""https://lacrosse.labradorsports.com/play?l=MV0qfNwnTWMxtHEvdYMK""]","This is a play in the 1-4–1 carry step off offense. | This is the Cuse Motion Offense vs a 3-3 zone.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=7uAoOTuyKbx00pC6bWeA\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=i7GSgzit5zVhUOdtnXyP\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=MV0qfNwnTWMxtHEvdYMK\"" style=\""max-width: 100%\""></iframe>""]"
"Basics of Individual Defensive Play in Lacrosse","32","32","","Basics of Individual Defensive Play in Lacrosse","[]","","[]"
"Beat Your Man and Score vs Zone Defense","33","33","Zone Offense","Beat Your Man and Score","[""https://lacrosse.labradorsports.com/play?l=pebZk3u3godXbODcQu8X"",""https://lacrosse.labradorsports.com/play?l=Sj7GciL2g8os6OXabnj4"",""https://lacrosse.labradorsports.com/play?l=lELjREDjwCxpxLt6dPp0"",""https://lacrosse.labradorsports.com/play?l=LDLutcvbpxJPh7Ofblqq""]","This is a play in the 1-4–1 carry step off offense.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=pebZk3u3godXbODcQu8X\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Sj7GciL2g8os6OXabnj4\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=lELjREDjwCxpxLt6dPp0\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=LDLutcvbpxJPh7Ofblqq\"" style=\""max-width: 100%\""></iframe>""]"
"Line Drills","34","34","","Line Drills","[]","","[]"
"Bling Bling Shooting Drill","35","35","","Bling Bling Shooting Drill","[]","","[]"
"Box and 1 Zone Man Down Defense","36","36","Man Down","4 Man Rotation","[""https://lacrosse.labradorsports.com/play?l=Bg6XdtJRlgZvFSEz32pw"",""https://lacrosse.labradorsports.com/play?l=Q40x0jouEmpVabrpItPF"",""https://lacrosse.labradorsports.com/play?l=y1O5u4347ymZ71DPlIIt"",""https://lacrosse.labradorsports.com/play?l=Vho76bAOf57XNvWKumfP"",""https://lacrosse.labradorsports.com/play?l=jieV7cOJqHSWUvwWUcc4""]","The boxing one will need to pinch where the ball is and be ready to rotate in the event a player cannot get back to his zone.

Be ready for players to come off of the crease and the player at x to curl | Backside players must spider in to cover the second crease player.  If they pop off the crease -  we should try to show and rotate if we need to. | Players must be ready to account for the Player at X when he comes above the goal. | The key here is playing the 3 v 2 up top and rotating if we need to. | The key is slow playing to keep zones and play to verse three up top and rotating fast if we need to.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Bg6XdtJRlgZvFSEz32pw\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Q40x0jouEmpVabrpItPF\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=y1O5u4347ymZ71DPlIIt\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=Vho76bAOf57XNvWKumfP\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=jieV7cOJqHSWUvwWUcc4\"" style=\""max-width: 100%\""></iframe>""]"
"Box and Suprise Lock Man Down Defense","37","37","Man Down","Box and Surprise Lock","[""https://lacrosse.labradorsports.com/play?l=k28GcSJYD6iltLAJnxk9"",""https://lacrosse.labradorsports.com/play?l=5wV6xbmIFDRtt6QS0VCa"",""https://lacrosse.labradorsports.com/play?l=tmeQjACKGLtzNhTpdIE2""]","The key is spidering in Backside | Once the offense rotates out of the 2-2-2 because of the lock and the back side will have to spider into the crease. | Players must be ready to account for the Player at X and spider in to cover the crease once  he comes above the goal.","[""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=k28GcSJYD6iltLAJnxk9\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=5wV6xbmIFDRtt6QS0VCa\"" style=\""max-width: 100%\""></iframe>"",""<iframe width=\""500\"" height=\""500\"" src=\""https://lacrosse.labradorsports.com/play?l=tmeQjACKGLtzNhTpdIE2\"" style=\""max-width: 100%\""></iframe>""]"
"Box Lacrosse Transition and Subbing","38","38","Box","Box Lacrosse Transition and Subbing","[]","","[]"
"Box Man Up Play - Double Picks","39","39","Box","Box Man Up Play - Double Picks","[]","","[]"
"Building Down Picks with 4v0's, 4v3's, and 4v4's","40","40","","Building Down Picks with 4v0's, 4v3's, and 4v4's","[]","","[]"
"Building Box Picks with 3v0's 3v2's and 3v3's","41","41","","Building Box Picks with 3v0's 3v2's and 3v3's","[]","","[]"
"Building Offense and Defense with 3v0's, 3v2's, and 3v3's","42","42","","Building Offense and Defense with 3v0's, 3v2's, and 3v3's","[]","","[]"
"Building Perfect Play Images","43","43","","Building Perfect Play Images","[]","","[]"
"Building Up Picks with 4v0's, 4v3's, and 4v4's","44","44","","Building Up Picks with 4v0's, 4v3's, and 4v4's","[]","","[]"
