ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_mepr_rules_type,_mepr_rules_content,_is_mepr_rules_content_regexp,_mepr_rules_drip_enabled,_mepr_rules_drip_amount,_mepr_rules_drip_unit,_mepr_rules_drip_after_fixed,_mepr_rules_drip_after,_mepr_rules_expires_enabled,_mepr_rules_expires_amount,_mepr_rules_expires_unit,_mepr_rules_expires_after,_mepr_rules_expires_after_fixed,_mepr_rules_unauth_excerpt_type,_mepr_rules_unauth_excerpt_size,_mepr_rules_unauth_message_type,_mepr_rules_unath_message,_mepr_rules_unath_login,_mepr_auto_gen_title,_mepr_rules_unath_modern_paywall,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
7607,"Files with File Tag: Fundamentals",,,"2021-08-19 20:10:46",memberpressrule,https://powlax.com/?memberpressrule=files-with-file-tag-fundamentals,,,,,,,,tax_mpdl-file-tags||cpt_mpdl-file,209,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,files-with-file-tag-fundamentals,,,0,0,0,closed,closed,"2022-04-05 11:53:52"
7774,"A Single File: 4-3 Alpha Clear | Lacrosse | POWLAX",,,"2021-08-20 04:32:23",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-4-3-alpha-clear-lacrosse-powlax,,,,,,,,single_mpdl-file,1238,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-4-3-alpha-clear-lacrosse-powlax,,,0,0,0,closed,closed,"2022-04-05 11:53:18"
7792,"A Single File: Face Off Plays and Tactics | Lacrosse | POWLAX",,,"2021-08-20 16:12:35",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-face-off-plays-and-tactics-lacrosse-powlax,,,,,,,,single_mpdl-file,1379,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-face-off-plays-and-tactics-lacrosse-powlax,,,0,0,0,closed,closed,"2024-02-29 13:11:43"
8163,"A Single File: Near Man Defense | Lacrosse | POWLAX",,,"2021-12-09 14:55:10",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-near-man-defense-lacrosse-powlax,,,,,,,,single_mpdl-file,1565,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-near-man-defense-lacrosse-powlax,,,0,0,0,closed,closed,"2022-04-05 11:53:05"
8622,"A Single File: Duke Fade and Follow Offense PDF",,,"2022-01-11 20:25:54",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-duke-fade-and-follow-offense-pdf,,,,,,,,single_mpdl-file,867,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-duke-fade-and-follow-offense-pdf,,,0,0,0,closed,closed,"2022-01-11 21:33:27"
9029,"A Single File: Wesleyan's National Championship Zone Defense | Lacrosse | POWLAX Playbook PDF",,,"2022-01-14 15:19:28",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-wesleyans-national-championship-zone-defense-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,1774,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-wesleyans-national-championship-zone-defense-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2022-04-05 11:52:56"
9168,"A Single File: L Fast Break (4v3) | Lacrosse | POWLAX Playbook PDF",,,"2022-01-16 18:42:52",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-l-fast-break-4v3-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,1515,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-l-fast-break-4v3-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2022-01-16 18:42:52"
9263,"A Single File: Penn State Picks Behind Offense | Lacrosse | POWLAX",,,"2022-01-17 12:28:21",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-penn-state-picks-behind-offense-lacrosse-powlax,,,,,,,,single_mpdl-file,9257,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-penn-state-picks-behind-offense-lacrosse-powlax,,,0,0,0,closed,closed,"2022-01-17 12:28:21"
9264,"A Single File: Penn State 1-4-1 Wing Picks Offense | Lacrosse | POWLAX",,,"2022-01-17 12:29:25",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-penn-state-1-4-1-wing-picks-offense-lacrosse-powlax,,,,,,,,single_mpdl-file,9261,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-penn-state-1-4-1-wing-picks-offense-lacrosse-powlax,,,0,0,0,closed,closed,"2022-04-05 11:52:39"
9265,"A Single File: Penn State 3 High Pairs Offense | Lacrosse | POWLAX",,,"2022-01-17 12:30:30",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-penn-state-3-high-pairs-offense-lacrosse-powlax,,,,,,,,single_mpdl-file,9259,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-penn-state-3-high-pairs-offense-lacrosse-powlax,,,0,0,0,closed,closed,"2022-01-17 12:30:30"
9654,"A Single File: Wellesley Lacrosse Playbook",,,"2022-04-06 01:29:48",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-wellesley-lacrosse-playbook,,,,,,,,single_mpdl-file,9650,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-wellesley-lacrosse-playbook,,,0,0,0,closed,closed,"2022-04-06 01:29:48"
12799,"A Single File: 2-3-2 Clear | Lacrosse | POWLAX Playbook PDF",,,"2023-02-10 13:40:55",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-2-3-2-clear-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,1131,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-2-3-2-clear-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2023-02-10 13:40:55"
12800,"A Single File: 10 Man Ride | Lacrosse | POWLAX Playbook PDF",,,"2023-02-10 13:41:54",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-10-man-ride-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,1107,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-10-man-ride-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2023-02-10 13:42:04"
14006,"All Content with File Category: Practice Plans",,,"2023-12-09 13:22:25",memberpressrule,https://powlax.com/?memberpressrule=all-content-with-file-category-practice-plans,,,,,,,,all_tax_mpdl-file-categories,235,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,all-content-with-file-category-practice-plans,,,0,0,0,closed,closed,"2025-01-08 03:17:24"
16796,"All Content with File Category: Free With Account",,,"2024-01-15 14:21:47",memberpressrule,https://powlax.com/?memberpressrule=all-content-with-file-category-free-with-account,,,,,,,,all_tax_mpdl-file-categories,237,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,all-content-with-file-category-free-with-account,,,0,0,0,closed,closed,"2024-01-15 14:21:47"
17669,"A Single File: Wild Cat Trap Zone Defense | Lacrosse | POWLAX",,,"2024-02-10 03:08:54",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-wild-cat-trap-zone-defense-lacrosse-powlax,,,,,,,,single_mpdl-file,9714,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-wild-cat-trap-zone-defense-lacrosse-powlax,,,0,0,0,closed,closed,"2024-02-10 03:08:54"
17780,"A Single File: The Riding Playbook | Lacrosse | POWLAX",,,"2024-02-10 05:12:17",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-the-riding-playbook-lacrosse-powlax,,,,,,,,single_mpdl-file,13939,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-the-riding-playbook-lacrosse-powlax,,,0,0,0,closed,closed,"2024-02-10 05:12:17"
17804,"A Single File: A Complete Guide to Man Down Defense | Lacrosse | POWLAX Playbook PDF",,,"2024-02-10 05:31:53",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-a-complete-guide-to-man-down-defense-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,3260,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-a-complete-guide-to-man-down-defense-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2024-02-10 05:31:53"
17827,"A Single File: 3-3 4 Man Wheel | Lacrosse | POWLAX Playbook PDF",,,"2024-02-10 06:02:53",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-3-3-4-man-wheel-lacrosse-powlax-playbook-pdf,,,,,,,,single_mpdl-file,738,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-3-3-4-man-wheel-lacrosse-powlax-playbook-pdf,,,0,0,0,closed,closed,"2024-02-10 06:02:53"
19665,"A Single File: 1-4-1 Double Mumbo to Weave Set Play",,,"2024-02-23 03:14:27",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-1-4-1-double-mumbo-to-weave-set-play,,,,,,,,single_mpdl-file,19588,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-1-4-1-double-mumbo-to-weave-set-play,,,0,0,0,closed,closed,"2024-02-23 03:14:27"
19666,"A Single File: 1-4-1 Shifted Triangles Motion Offense | Lacrosse | POWLAX",,,"2024-02-23 03:15:21",memberpressrule,https://powlax.com/?memberpressrule=a-single-file-1-4-1-shifted-triangles-motion-offense-lacrosse-powlax,,,,,,,,single_mpdl-file,19663,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-file-1-4-1-shifted-triangles-motion-offense-lacrosse-powlax,,,0,0,0,closed,closed,"2024-02-23 03:15:21"
20799,"A Single Page: Lacrosse Coaching Mastery Assessment",,,"2024-05-29 03:56:05",memberpressrule,https://powlax.com/?memberpressrule=a-single-page-lacrosse-coaching-mastery-assessment,,,,,,,,single_page,20791,,,0,days,,registers,,0,days,registers,,default,100,custom,"To gain access to the Lacrosse Coaching Mastery Quiz, please visit <a href=""https://powlax.com/register/lacrosse-coaching-mastery-assessment/"">https://powlax.com/register/lacrosse-coaching-mastery-assessment/</a>",show,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,a-single-page-lacrosse-coaching-mastery-assessment,,,0,0,0,closed,closed,"2024-05-31 21:54:18"
20950,"Files with File Tag: DDLC",,,"2024-06-04 03:03:23",memberpressrule,https://powlax.com/?memberpressrule=all-content-tagged-ddlc,,,,,,,,tax_mpdl-file-tags||cpt_mpdl-file,242,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,all-content-tagged-ddlc,,,0,0,0,closed,closed,"2024-06-04 03:04:50"
21246,"Partial: POWLAX Online Skills Academy",,,"2024-07-25 17:46:47",memberpressrule,https://powlax.com/?memberpressrule=partial-player-development-portal,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,0,custom,"<strong>Access Restricted: Player Development Portal - Please Log In</strong>

It looks like you don't have access to our exclusive Player Development Portal.

<strong>Unlock Your Full Potential by Subscribing Today!</strong>

By subscribing, you'll gain access to:
<ul>
 	<li>A vast library of solo drills</li>
 	<li>Step-by-step video tutorials of exactly what to do to improve!</li>
</ul>
Don't miss out on the opportunity to train like a pro and elevate your game.

<strong>Subscribe now to get started and unlock your potential!</strong>

[mepr-login-form use_redirect=""false""]",hide,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-player-development-portal,,,0,0,0,closed,closed,"2025-03-16 04:34:31"
30740,"Quizzes / Workouts with Quiz / Workout Category: AA Portal",,,"2024-11-21 06:06:48",memberpressrule,https://powlax.com/?memberpressrule=quizzes-workouts-with-quiz-workout-category-aa-portal,,,,,,,,tax_ld_quiz_category||cpt_sfwd-quiz,449,,,0,days,,registers,,0,days,registers,,default,100,default,,default,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,quizzes-workouts-with-quiz-workout-category-aa-portal,,,0,0,0,closed,closed,"2024-11-21 06:06:48"
33501,"All Content Tagged: Drill Bank Rule",,,"2024-12-30 03:41:15",memberpressrule,https://powlax.com/?memberpressrule=posts-tagged-drill-bank-rule,,,,,,,,all_tax_post_tag,457,,,0,days,,registers,,0,days,registers,,default,100,custom,"<strong>Access Restricted: POWLAX Online Skills Academy - Please Log In </strong>

[mepr-login-form use_redirect=""false""]

It looks like you don't have access to our exclusive <strong>POWLAX Online Skills Academy</strong>.

<strong>Check it out below!</strong>

By subscribing, you'll gain access to:
<ul>
 	<li>A vast library of solo drills</li>
 	<li>Step-by-step video tutorials of exactly what to do to improve!</li>
</ul>
Don't miss out on the opportunity to train like a pro and elevate your game.

<strong>Subscribe now to get started and unlock your potential!</strong>

[mepr-login-form use_redirect=""false""]",hide,1,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,posts-tagged-drill-bank-rule,,,0,0,0,closed,closed,"2025-03-16 04:35:09"
34161,"Partial: Dripping Springs Logo Partial",,,"2025-01-08 21:43:58",memberpressrule,https://powlax.com/?memberpressrule=partial-dripping-springs-logo-partial,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-dripping-springs-logo-partial,,,0,0,0,closed,closed,"2025-01-08 21:57:51"
35617,"Partial: Omaha Lacrosse Club",,,"2025-02-07 04:49:31",memberpressrule,https://powlax.com/?memberpressrule=partial-omaha-lacrosse-club,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-omaha-lacrosse-club,,,0,0,0,closed,closed,"2025-02-07 04:49:31"
35649,"Partial: Oak City Lacrosse",,,"2025-02-08 05:23:00",memberpressrule,https://powlax.com/?memberpressrule=partial-oak-city-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-oak-city-lacrosse,,,0,0,0,closed,closed,"2025-02-16 19:32:04"
35763,"Partial: Storm Lacrosse TX",,,"2025-02-16 06:29:38",memberpressrule,https://powlax.com/?memberpressrule=partial,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial,,,0,0,0,closed,closed,"2025-02-16 06:29:50"
35908,"Partial: Linsly Lacrosse Banner",,,"2025-02-18 03:34:19",memberpressrule,https://powlax.com/?memberpressrule=partial-2,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-2,,,0,0,0,closed,closed,"2025-03-28 19:29:23"
35913,"Partial: Forge Lacrosse Banner",,,"2025-02-18 03:57:16",memberpressrule,https://powlax.com/?memberpressrule=partial-forge-lacrosse-banner,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-forge-lacrosse-banner,,,0,0,0,closed,closed,"2025-02-18 03:57:16"
35990,"Partial: Broughton Lacrosse",,,"2025-02-19 05:41:24",memberpressrule,https://powlax.com/?memberpressrule=partial-broughton-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-broughton-lacrosse,,,0,0,0,closed,closed,"2025-02-19 05:41:24"
35991,"Partial: Big Walnut Lacrosse",,,"2025-02-19 05:41:49",memberpressrule,https://powlax.com/?memberpressrule=partial-big-walnut-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-big-walnut-lacrosse,,,0,0,0,closed,closed,"2025-02-19 05:41:49"
35994,"Partial: Skyline Lacrosse",,,"2025-02-19 05:50:38",memberpressrule,https://powlax.com/?memberpressrule=partial-skyline-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-skyline-lacrosse,,,0,0,0,closed,closed,"2025-02-19 05:51:07"
36053,"Partial: Moon Area Lacrosse",,,"2025-02-20 07:44:05",memberpressrule,https://powlax.com/?memberpressrule=partial-moon-area-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-moon-area-lacrosse,,,0,0,0,closed,closed,"2025-03-10 16:28:43"
36054,"Partial: SnoLax",,,"2025-02-20 07:44:49",memberpressrule,https://powlax.com/?memberpressrule=partial-snolax,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-snolax,,,0,0,0,closed,closed,"2025-02-20 07:44:49"
36055,"Partial: PYLAX Banner",,,"2025-02-20 07:43:12",memberpressrule,https://powlax.com/?memberpressrule=partial-pylax-banner,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-pylax-banner,,,0,0,0,closed,closed,"2025-02-20 07:43:12"
36137,"Partial: Juanita Lacrosse",,,"2025-02-24 05:20:54",memberpressrule,https://powlax.com/?memberpressrule=partial-juanita-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-juanita-lacrosse,,,0,0,0,closed,closed,"2025-02-24 05:20:54"
36140,"Partial: Bellingham Lacrosse",,,"2025-02-24 05:23:27",memberpressrule,https://powlax.com/?memberpressrule=partial-bellingham-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-bellingham-lacrosse,,,0,0,0,closed,closed,"2025-02-24 05:23:27"
36271,"Partial: Medway Youth Lacrosse",,,"2025-02-25 05:30:19",memberpressrule,https://powlax.com/?memberpressrule=partial-medway-youth-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-medway-youth-lacrosse,,,0,0,0,closed,closed,"2025-02-25 05:30:19"
36368,"Mt Spokane Lacrosse",,,"2025-02-28 17:48:35",memberpressrule,https://powlax.com/?memberpressrule=mt-spokane-lacrosse,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,mt-spokane-lacrosse,,,0,0,0,closed,closed,"2025-03-04 05:30:08"
36534,"Partial: Glen Ellyn Bulldogs",,,"2025-03-03 07:00:19",memberpressrule,https://powlax.com/?memberpressrule=partial-glen-ellyn-bulldogs,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-glen-ellyn-bulldogs,,,0,0,0,closed,closed,"2025-03-03 07:00:19"
36535,"Partial: ICCP Knights",,,"2025-03-03 07:00:51",memberpressrule,https://powlax.com/?memberpressrule=partial-iccp-knights,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-iccp-knights,,,0,0,0,closed,closed,"2025-03-03 07:00:51"
36575,"Partial: Lil Raptors POSA",,,"2025-03-04 04:59:43",memberpressrule,https://powlax.com/?memberpressrule=partial-lil-raptors-posa,,,,,,,,partial,,,,0,days,,registers,,0,days,registers,,default,100,default,,default,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,partial-lil-raptors-posa,,,0,0,0,closed,closed,"2025-03-04 04:59:43"
