ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Drill Types",_drill_category,_drill_duration,_drill_video_url,_drill_notes,_mepr_unauthorized_message_type,_mepr_unauthorized_message,_mepr_unauth_login,_mepr_unauth_excerpt_type,_mepr_unauth_excerpt_size,_learndash_course_grid_short_description,_powlax_drill,_learndash_course_grid_duration,_learndash_course_grid_enable_video_preview,_learndash_course_grid_video_embed_code,_learndash_course_grid_custom_button_text,_learndash_course_grid_custom_ribbon_text,_drill_lab_url_new,_drill_lab_embed,_drill_custom_url,_drill_images,_elementor_page_assets,_drill_lab_url,_drill_game_states,_drill_lab_url_1,_drill_lab_url_2,_drill_lab_url_3,_drill_lab_url_4,_drill_lab_embeds,_drill_lab_url_5,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
45936,"Duke Scrapping 3v2","This player favorite will develop your teams transition offense, ground balls, and clearing! All in one drill!",,"2025-06-23 03:50:01",powlax_drill,https://powlax.com/powlax_drill/duke-scrapping-3v2/,,,,,,,,,"Team Competition",10,,,default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,,,https://powlax.com/master-classes/44736/lessons/duke-scrapping-drill/,,a:0:{},https://lacrosse.labradorsports.com/playbook?t=YdDKMHFFxnQZpnyPUzjh&p=uTgc10Uy5G5eePL9KINW&sp=team&f=l3BYxZanl29LOw4PHaIk&cpg=1&__hstc=114890522.4fb9b67d7c83d6a7330cccb18582385e.1745420270582.1745420270582.1750650527054.2&__hssc=114890522.1.1750650527054&__hsfp=1217993264,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,duke-scrapping-3v2,,,0,0,0,closed,closed,"2025-06-23 03:50:15"
45998,"Island 1v1's","Island 1 v 1 put offensive and defensive players directly on the island. Defensive players focus on driving and maintaining position in a dangerous location where they will be destroyed if they go for the stick check.",,"2025-06-23 18:18:16",powlax_drill,https://powlax.com/powlax_drill/island-1v1s/,,,,,,,,,"Skill Development",0,,,default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,island-1v1s,,,0,0,0,closed,closed,"2025-06-23 18:18:16"
46036,"Spike Stickwork",,,"2025-06-25 04:00:24",powlax_drill,https://powlax.com/powlax_drill/spike-stickwork/,,,,,,,,,"Skill Development",10,https://youtu.be/j7GiwqSkWts?si=suKMc7I3PCK2azMV,"VERIFYING THAT NOTES WORK",default,,default,default,100,,"a:2:{i:0;s:0:"""";s:37:""powlax_drill_course_short_description"";s:0:"""";}",,0,,,,,,https://powlax.com/master-classes/44790/,a:4:{i:0;i:46044;i:1;i:46043;i:2;i:46042;i:3;i:46041;},a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,spike-stickwork,,,0,0,0,closed,closed,"2025-06-28 08:39:41"
48703,"1v1 Ground Balls to Give and Go",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/1v1-ground-balls-to-give-and-go/,,,,,,,,,"1v1 Drills",15,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,1v1-ground-balls-to-give-and-go,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48704,"General Drill (Recovery 1v1's)",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/general-drill-recovery-1v1s/,,,,,,,,,"1v1 Drills",12,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,general-drill-recovery-1v1s,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48705,"2v1 Ground Balls",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/2v1-ground-balls/,,,,,,,,,"Concept Drills",10,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,2v1-ground-balls,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48706,"2 Man Game",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/2-man-game/,,,,,,,,,"Concept Drills",15,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,2-man-game,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48707,"3v2 Drill",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/3v2-drill/,,,,,,,,,"Concept Drills",15,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,3v2-drill,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48708,"British Bulldog",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/british-bulldog/,,,,,,,,,"Team Drills",10,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,british-bulldog,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48709,"Broken Drill",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/broken-drill/,,,,,,,,,"Team Drills",20,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,broken-drill,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48710,"Fire Drill",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/fire-drill/,,,,,,,,,"Team Drills",12,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,fire-drill,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48711,Scrimmage,,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/scrimmage/,,,,,,,,,"Live Play",20,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,scrimmage,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48712,"Full Field Play",,,"2025-07-30 08:59:39",powlax_drill,https://powlax.com/powlax_drill/full-field-play/,,,,,,,,,"Live Play",15,,,,,,,,,,,,,,,,,,,a:0:{},,,,,,,,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,full-field-play,,,0,0,0,closed,closed,"2025-07-30 08:59:39"
48713,"Skeleton Shooting 1",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/skeleton-shooting-1/,,,,,,,,,"Concept Drills",,https://vimeo.com/1092030908,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=j8DRDJ9g9qGGkSKdWSPH"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:1:{i:0;s:18:""pp-settled-offense"";}",https://lacrosse.labradorsports.com/play?l=j8DRDJ9g9qGGkSKdWSPH,https://lacrosse.labradorsports.com/play?l=cTIO1cQ8cVxuv9NN8c6D,https://lacrosse.labradorsports.com/play?l=DEJJzQo7P0WALAiFSwBW,https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew,"a:5:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=j8DRDJ9g9qGGkSKdWSPH"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=cTIO1cQ8cVxuv9NN8c6D"" style=""max-width: 100%""></iframe>"";i:2;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=DEJJzQo7P0WALAiFSwBW"" style=""max-width: 100%""></iframe>"";i:3;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew"" style=""max-width: 100%""></iframe>"";i:4;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew"" style=""max-width: 100%""></iframe>"";}",https://lacrosse.labradorsports.com/play?l=0Zm83YidifXdKcGdA1Ew,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skeleton-shooting-1,,,0,0,0,closed,closed,"2025-07-30 09:10:50"
48714,"Skeleton Shooting 2",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/skeleton-shooting-2/,,,,,,,,,"Concept Drills",,https://vimeo.com/1092030908,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=9KNTAEfel51D93zFoPyI"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:1:{i:0;s:18:""pp-settled-offense"";}",https://lacrosse.labradorsports.com/play?l=9KNTAEfel51D93zFoPyI,https://lacrosse.labradorsports.com/play?l=7ANrXqfC8MM80iAzVW0W,https://lacrosse.labradorsports.com/play?l=tGmus99Usmxkm7E7iBZY,https://lacrosse.labradorsports.com/play?l=6bhcdoTCGDrsgeJudcFc,"a:5:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=9KNTAEfel51D93zFoPyI"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=7ANrXqfC8MM80iAzVW0W"" style=""max-width: 100%""></iframe>"";i:2;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=tGmus99Usmxkm7E7iBZY"" style=""max-width: 100%""></iframe>"";i:3;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=6bhcdoTCGDrsgeJudcFc"" style=""max-width: 100%""></iframe>"";i:4;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=QmCu7bTnFEwW7VFMSDvC"" style=""max-width: 100%""></iframe>"";}",https://lacrosse.labradorsports.com/play?l=QmCu7bTnFEwW7VFMSDvC,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skeleton-shooting-2,,,0,0,0,closed,closed,"2025-07-30 09:10:50"
48715,"Skeleton Shooting 3",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/skeleton-shooting-3/,,,,,,,,,"Concept Drills",,https://vimeo.com/1092030908,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=neSD2bussVfcpbGtsXxb"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:1:{i:0;s:18:""pp-settled-offense"";}",https://lacrosse.labradorsports.com/play?l=neSD2bussVfcpbGtsXxb,https://lacrosse.labradorsports.com/play?l=KnDO1sM34iisDCL7BU5H,,,"a:2:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=neSD2bussVfcpbGtsXxb"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=KnDO1sM34iisDCL7BU5H"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,skeleton-shooting-3,,,0,0,0,closed,closed,"2025-07-30 09:10:50"
48716,"Line Drills",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/line-drills/,,,,,,,,,"Skill Drills",,https://vimeo.com/184030071,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=77Ih59WK2IGaxbRuNV1E"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:3:{i:0;s:18:""pp-settled-offense"";i:1;s:23:""pp-offensive-transition"";i:2;s:11:""pp-clearing"";}",https://lacrosse.labradorsports.com/play?l=77Ih59WK2IGaxbRuNV1E,https://lacrosse.labradorsports.com/play?l=hylFppQsFXnpFtXx1Khh,https://lacrosse.labradorsports.com/play?l=1WL945VormCYxhSdHqMb,https://lacrosse.labradorsports.com/play?l=C1ky2XnDNPsuzS5UiYBU,"a:5:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=77Ih59WK2IGaxbRuNV1E"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=hylFppQsFXnpFtXx1Khh"" style=""max-width: 100%""></iframe>"";i:2;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=1WL945VormCYxhSdHqMb"" style=""max-width: 100%""></iframe>"";i:3;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=C1ky2XnDNPsuzS5UiYBU"" style=""max-width: 100%""></iframe>"";i:4;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=ulljZQMXH8IAcdKeQ5e1"" style=""max-width: 100%""></iframe>"";}",https://lacrosse.labradorsports.com/play?l=ulljZQMXH8IAcdKeQ5e1,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,line-drills,,,0,0,0,closed,closed,"2025-07-30 09:10:50"
48717,"Line Drills 2",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/line-drills-2/,,,,,,,,,"Skill Drills",,https://vimeo.com/184030071,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=GMzWBH3dfsrNtfeebNAz"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:3:{i:0;s:18:""pp-settled-offense"";i:1;s:23:""pp-offensive-transition"";i:2;s:11:""pp-clearing"";}",https://lacrosse.labradorsports.com/play?l=GMzWBH3dfsrNtfeebNAz,https://lacrosse.labradorsports.com/play?l=Vj0UET61vCBNphvvDBkz,,,"a:2:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=GMzWBH3dfsrNtfeebNAz"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=Vj0UET61vCBNphvvDBkz"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,line-drills-2,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
48718,"Throw Back Line Drills",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/throw-back-line-drills/,,,,,,,,,"Skill Drills",,https://vimeo.com/182763087,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=oforXC2BGBxd3RE3P3xr"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:3:{i:0;s:18:""pp-settled-offense"";i:1;s:23:""pp-offensive-transition"";i:2;s:11:""pp-clearing"";}",https://lacrosse.labradorsports.com/play?l=oforXC2BGBxd3RE3P3xr,https://lacrosse.labradorsports.com/play?l=XLRBxpjFmoiGbSkcTcDW,https://lacrosse.labradorsports.com/play?l=7ClZYJoIzOPd5V7M5cSK,https://lacrosse.labradorsports.com/play?l=Tl3Ye53uEpSgiyxIlRBg,"a:1:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=oforXC2BGBxd3RE3P3xr"" style=""max-width: 100%""></iframe>"";}",https://lacrosse.labradorsports.com/play?l=74CZFMfs5DjEs7V89Jmt,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,throw-back-line-drills,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
48719,"4 Corner Shooting",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/4-corner-shooting/,,,,,,,,,"Skill Drills",,,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=W2sr4EEtagxhOLSjcfyk"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:2:{i:0;s:18:""pp-settled-offense"";i:1;s:23:""pp-offensive-transition"";}",https://lacrosse.labradorsports.com/play?l=W2sr4EEtagxhOLSjcfyk,https://lacrosse.labradorsports.com/play?l=Dm4SvkVmISBoMhe88pz5,https://lacrosse.labradorsports.com/play?l=BLGDnvhhe0XG82OAdx7L,https://lacrosse.labradorsports.com/play?l=2HDQ8DXkyClfU5Ity14E,"a:1:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=W2sr4EEtagxhOLSjcfyk"" style=""max-width: 100%""></iframe>"";}",https://lacrosse.labradorsports.com/play?l=wnEdYK5AKc4KpnE7J68O,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,4-corner-shooting,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
48720,"4 Corner Swing, Pick, and Shoot",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/4-corner-swing-pick-and-shoot/,,,,,,,,,"Skill Drills",,,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=0A0P9bbzJtMK475XfFmU"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:2:{i:0;s:18:""pp-settled-offense"";i:1;s:23:""pp-offensive-transition"";}",https://lacrosse.labradorsports.com/play?l=0A0P9bbzJtMK475XfFmU,,,,"a:1:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=0A0P9bbzJtMK475XfFmU"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,4-corner-swing-pick-and-shoot,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
48721,"1v1 + 1 Slide Practice",,,"2025-07-30 09:10:27",powlax_drill,https://powlax.com/powlax_drill/1v1-1-slide-practice/,,,,,,,,,"Concept Drills",,,,,,,,,,,,,,,,,"<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=xXEhHR1lJdOdIqAeld3H"" style=""max-width: 100%""></iframe>",,,a:0:{},,"a:2:{i:0;s:18:""pp-settled-defense"";i:1;s:18:""pp-settled-offense"";}",https://lacrosse.labradorsports.com/play?l=xXEhHR1lJdOdIqAeld3H,https://lacrosse.labradorsports.com/play?l=C5SiUwTrQFaAjKeclKIF,,,"a:2:{i:0;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=xXEhHR1lJdOdIqAeld3H"" style=""max-width: 100%""></iframe>"";i:1;s:136:""<iframe width=""500"" height=""500"" src=""https://lacrosse.labradorsports.com/play?l=C5SiUwTrQFaAjKeclKIF"" style=""max-width: 100%""></iframe>"";}",,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,1v1-1-slide-practice,,,0,0,0,closed,closed,"2025-07-30 09:10:51"
