ID,Title,Content,Positions,"Academy Single Drills","Academy Drill Equipment","Players See & Do The Skills","Coach the Skills","Players Own the Skills","Space Needed",Complexity,"Sets and Reps","Drill Length in Minutes","Quiz / Workout Categories","Quiz / Workout Tags"
15682,"Elements of Game Day Quiz","Complete this quiz with a score of 80% or better to receive the “Elements of Game Day Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10",
15726,"Running an 8U Practice Quiz","Complete this quiz with a score of 80% or better to receive the “Running an 8U Practice Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10",
15744,"Running an Introductory Practice Quiz","Complete this quiz with a score of 80% or better to receive the “Running an Introductory Practice Plan Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
15767,"Individual Defensive Play Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Individual Defensive Play Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 15","Settled Defense"
15813,"What is Lacrosse Quiz","Complete this quiz with a score of 80% or better to receive the “What is Lacrosse Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10",
15907,"Lacrosse Similarities to the Big 5 Sports Quiz","Complete this quiz with a score of 80% or better to receive the “Lacrosse Similarities to the Big 5 Sports Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10",
15934,"How Lacrosse Works: Phases and Flow of the Game Quiz","Complete this quiz with a score of 80% or better to receive the “How Lacrosse Works: Phases and Flow of the Game"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.",,,,,,,,,,,"Lax IQ 10",
15964,"Lacrosse Strategies and How To Build Them Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Lacrosse Strategies and How To Build Them Quiz"" POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16019,"Practice Planning to Build Transition Offense 1","<p>Complete this quiz with a score of 80% or better to receive the “Practice Planning to Build Transition Offense 1 Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16044,"Practice Planning to Build Transition Offense 2 Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Practice Planning to Build Transition Offense 2 Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16090,"Settled Offense and Defense Practice Plan 1 Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Settled Offense and Defense Practice Plan 1 Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16119,"Settled Offense and Defense Practice Plan 2 Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Settled Offense and Defense Practice Plan 2 Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16142,"Pre-game Practice Plan Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Pre-game Practice Plan Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16165,"Goalie Training in Practice Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Goalie Training in Practice Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16177,"Face Off Training in Practice Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Face-off Training in Practice” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"IQ Quizzes>Face Off Quiz|Lax IQ 10",
16183,"Coaching Roles and Responsibilities in Practice Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching Roles and Responsibilities in Practice Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16195,"Elements of a Great Practice Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Elements of a Great Practice Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16201,"Accomplishing Our Goal in Practice Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Accomplishing Our Goal in Practice Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16223,"Practice Essentials Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Practice Essentials” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16238,"How I Practice Plan Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Face-off Training in Practice” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10|IQ Quizzes>Practice Planning Quiz",
16276,"Coaching the 15-18 Age Group Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching the 15-18 Age Group Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16298,"Coaching the 11-14 Age Group Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching the 11-14 Age Group Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16320,"Coaching the 8-12 Age Group Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching the 8-12 Age Group Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16332,"Coaching the 6-9 Age Group Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching the 6-9 Age Group Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16343,"Age and Skill Appropriate Coaching Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Age and Skill Appropriate Coaching Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16357,"Coaching the 0-6 Age Group Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Coaching the 0-6 Age Group Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16427,"How Lacrosse Works: Phases of the Game for 8U and Newcomers Quiz",,,,,,,,,,,,"Lax IQ 10",
16439,"8U Game Day Quiz","<p>Complete this quiz with a score of 80% or better to receive the “8U Gameday Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 10",
16858,"Cuse Motion Offense Free","<p>Complete this quiz with a score of 80% or better to receive the “Cuse Motion Offense” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
17438,"4 Man Wheel Man Up Quiz","<p>Complete this quiz with a score of 80% or better to receive the “4 Man Wheel Man Up Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Man Up Quiz","Man Up"
17750,"Wild Cat Trap Zone Defense Quiz","<p>Complete this quiz with a score of 80% or better to receive the “Wild Cat Trap Zone Defense Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Defense Quiz","Settled Defense"
19480,"1-4-1 Shifted Triangles Motion Offense","<p>Complete this quiz with a score of 80% or better to receive the “1-4-1 Shifted Triangles Motion Offense Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 15|IQ Quizzes>Settled Offense Quiz","Settled Offense"
19540,"1-4-1 Double Mumbo to Weave Set Play Quiz",,,,,,,,,,,,"Lax IQ 5","Settled Offense"
19543,"1-4-1 Double Mumbo to Weave Set Play","<p>Complete this quiz with a score of 80% or better to receive the “1-4-1 Double Mumbo to Weave Set Play Quiz” POWLAX Certificate of Completion. After completing the quiz, you must print or save the certificate! If you leave the quiz without saving or printing it, you will have to complete the quiz again.</p>",,,,,,,,,,,"Lax IQ 5","Settled Offense"
24872,"5 Minute Maintenance Wall Ball Workout (With Coaching)",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Wall Ball 5",Skills-Academy
24942,".5 Midfield Wall Ball Workout - 5 Minute Maintenance","<!-- wp:paragraph -->
<p>Perfect for when you’re short on time—our 5-Minute Quick Stick Skill Maintenance Workout keeps your hands sharp and your reflexes razor fast! Rapid-fire reps will maintain your edge and keep your stick skills game-ready in just minutes!</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Wall Ball 5",Skills-Academy
25358,"Drill Videos as Questions","<p>This is a way to get all Drill Videos Into The Learn Dash Platform.</p>",,,,,,,,,,,,
25605,"Defense Practice 1","<!-- wp:paragraph -->
<p>Pipe Approaches, Defending at X, Long Passes, Face Dodge</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,
25730,"Wall Ball - Master Fundamentals Wall Ball Workout - 05 Minutes","<!-- wp:html /-->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Foundation Ace|Wall Ball 5",Skills-Academy
25748,Quiz,,,,,,,,,,,,,
25749,Quiz,,,,,,,,,,,,,
25750,"Attack Practice 1: Establishment of Technique","<!-- wp:paragraph -->
<p>This quiz is a set of drills to establish technique for Attackman. </p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Attack Drills>Attack 20|Lacrosse Player Points",Skills-Academy
25760,"10 Drill Defense Practice 1:","<!-- wp:paragraph -->
<p>This is a defensive practice focusing on Pipe Approaches, Defending at X, Long Passes, Face Dodge.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Defensive Drills>Defense 10",Skills-Academy
25807,"Pipe Approaches - Long Passes Face Dodge",,,,,,,,,,,,"Defensive Drills>Defense 20",Skills-Academy
25828,"5 Drill Defense Practice 1:","<!-- wp:paragraph -->
<p>This is a defensive practice focusing on Pipe Approaches, Defending at X, Long Passes, Face Dodge.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,"Workout Length>5 Drill Workout|Defensive Drills>Defense 5|Lacrosse Player Points",Skills-Academy
25866,"Defense Practice 2: 5 Drill Version",,,,,,,,,,,,,
25924,"Defensive Test Quiz.  Does it delete the Videos","<!-- wp:paragraph -->
<p>Test Quiz Question Deletion</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,
25942,"5 Minute Establishing Technique Work Out",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Attack Drills>Attack 5",Skills-Academy
25969,"Master Fundamentals Wall Ball Workout - 10 Minutes",,,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Foundation Ace|Wall Ball 10",Skills-Academy
25972,"Master Fundamentals Wall Ball Workout - 17 Minutes",,,,,,,,,,,,"Lacrosse Player Points>17 Lax Credits|Foundation Ace|Workout Length>Long Workout|Wall Ball 17",Skills-Academy
25974,"Dodging Wall Ball Workout - 05 Minutes",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Dominant Dodger|Wall Ball Drills>Wall - Dodging|Wall Ball 5",Skills-Academy
25978,"Dodging Wall Ball Workout - 10 Minutes",,,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Dominant Dodger|Wall Ball Drills>Wall - Dodging|Wall Ball 10",Skills-Academy
25982,"Dodging Wall Ball Workout - 16 Minutes",,,,,,,,,,,,"Lacrosse Player Points>16 Lax Credits|Dominant Dodger|Workout Length>Long Workout|Wall Ball Drills>Wall - Dodging|Wall Ball 16",Skills-Academy
25985,"Conditioning Wall Ball Workout - 05 Minutes",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Stamina Star|Wall Ball Drills>Wall - Conditioning|Wall Ball 5",Skills-Academy
25987,"Conditioning Wall Ball Workout - 10 Minutes",,,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Stamina Star|Wall Ball Drills>Wall - Conditioning|Wall Ball 10",Skills-Academy
25989,"Conditioning Wall Ball Workout - 14 Minutes",,,,,,,,,,,,"Lacrosse Player Points>14 Lax Credits|Workout Length>Long Workout|Stamina Star|Wall Ball Drills>Wall - Conditioning|Wall Ball 14",Skills-Academy
25991,"Faking and Inside Finishing Wall Ball Workout - 15 Minutes",,,,,,,,,,,,"Finishing Phenom|Workout Length>Long Workout|Wall Ball Drills>Wall - Inside Finishing|Wall Ball 15",Skills-Academy
25993,"Faking and Inside Finishing Wall Ball Workout - 10 Minutes",,,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Finishing Phenom|Wall Ball Drills>Wall - Inside Finishing|Wall Ball 10",Skills-Academy
25995,"Faking and Inside Finishing Wall Ball Workout - 05 Minutes",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Finishing Phenom|Wall Ball Drills>Wall - Inside Finishing|Wall Ball 5",Skills-Academy
25997,"Shooting Wall Ball Workout - 05 Minutes",,,,,,,,,,,,"Workout Length>5 Drill Workout|Lacrosse Player Points>5 Lax Credits|Bullet Snatcher|Wall Ball Drills>Wall - Shooting|Wall Ball 5",Skills-Academy
25999,"Shooting Wall Ball Workout - 10 Minutes",,,,,,,,,,,,"Workout Length>10 Drill Workout|Lacrosse Player Points>10 Lax Credits|Bullet Snatcher|Wall Ball Drills>Wall - Shooting|Wall Ball 10",Skills-Academy
