folderPath,name,Id,description
Offense/Penn State Offense/Picks Behind/2 Man/,PSO - PB - Razor Picks,107,"The 3 variations of the Penn State Offense use a Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

Razor Picks are set right on GLE to gain a step to X or roll back over the top of."
Offense/Penn State Offense/Picks Behind/2 Man/,PSO - PB - Slam Picks,107,"The 3 variations of the Penn State Offense use a 2 Man Game and Off Ball Movement that feeds into itself to create an incredible motion offense.

The Picks Behind Offense utilizes a wide range of 2 Man Games Behind.

Slam Picks create difficult decisions of whether to switch or stay with by picking down on GLE."
Transition/Transition Offense/6v6)/Slow Break (6v5/,Slow Break - Duke Motion,127,This slow break utilizes aspects of the 21-12 offense and sets teams up to Dodge if a 21-12 Set right away.
Transition/Riding/2 Down (Windshield Wiper)/,2 Down Windshield Wiper Ride,138,The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackme must chase so that when a midfielder turns them back they will have the opportunity to double.
Transition/Riding/2 Down (Windshield Wiper)/,2DR - Windshield Wiper,138,The two down or windshield wiper ride uses two attackmen to play the base defenseman and Goalie of the clear.  While everyone else  matches up man to man up field. If a pass is made to an upfield player the attackmeb must chase so that when a midfielder turns them back they will have the opportunity to double.
Transition/Transition Offense/6v6)/Slow Break (6v5/,UNC’s 3 Man Slow Break - Fish Hook,146,"This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!

Remember that the most important part of this Slow Break is That we get a good possession."
Transition/Transition Offense/6v6)/Slow Break (6v5/,UNC’s 3 Man Slow Break - Picks and Cuts Inside,146,"This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!

Remember that the most important part of this Slow Break is That we get a good possession."
Transition/Transition Offense/6v6)/Slow Break (6v5/,UNC’s 3 Man Slow Break - X Cut,146,"This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!

Remember that the most important part of this Slow Break is That we get a good possession."
Transition/Transition Offense/6v6)/Slow Break (6v5/,UNC’s 3 Man Slow Break - X Cut to Picks,146,"This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!

Remember that the most important part of this Slow Break is That we get a good possession."
Offense/Box Offense/Up Pick to Down Pick Box Offense/,Up Pick to Down Pick Box Offense,147,This simple offense combines 4 separate picks to run consistently and consecutively. It frustrates defenses by making them make decisions constantly and allows players to play fast within a structured offense that has a plethora of looks and playmaking opportunities.
Offense/Box Offense/Weave and Mumbo Box Offense/,Weave and Mumbo Box Offense,150,The Weave and Mumbo Box Lacrosse Offense is a simple motion offense based on the Duke Fade and Follow Offense. It’s easy for players to remember and creates a ton of great shooting opportunities!
Offense/21-12 Motion Offense/12 Motions/,12 | Carolina 1 (Fake Pick to ISO),183,This is a way to isolate a dodge with a fake 2 Man Game on the opposite side.
Offense/21-12 Motion Offense/12 Motions/,12 | Carry Shallow Cut,183,Carry Shallow Cuts are a great introduction to motion offensive tactics.
Offense/21-12 Motion Offense/12 Rotations/,12 | Center Cut,183,The Top Center Cut is a simple rotation where then player top center or at X to the crease.
Offense/21-12 Motion Offense/12 Rotations/,12 | Clear Out,183,A “Clear Out” is when the nearest player in the other group will move to the crease but the other players will stay where they are.
Offense/21-12 Motion Offense/12 Rotations/,12 | Clear Through - Fill - Fill,183,The Clear Through Fill - Fill rotation clears out the entire side to allow dodgers to operate and it prepares for the next 21 Motion.
Offense/21-12 Motion Offense/12 Motions/,12 | Dodge - Clear Through - Follow,183,Dodge - Clear Through - Follow is a triangle offensive concept with dodges from top center and x.
Offense/21-12 Motion Offense/12 Rotations/,12 | Fade - Fade - Cut The Middle,183,The Fade -  Push -  Cut the Middle Rotation is a part of the triangle offense and clears the side by moving away rather than moving to the middles. This creates a great opportunity with the backside player to cutting the middle.
Offense/21-12 Motion Offense/12 Motions/,12 | Overlaps - Flips / Fake Flips,183,An Overlap happens when an off ball player runs by the ball carrier when he is on the outside of the field (farther away from the goal). This can be dangerous because it allows the off ball player to “free double” (when a defenseman can double the ball carrier while maintaining a good off ball position on their man).  The offense will move quickly and use flips or fake flips to manipulate the defenseman.
Offense/21-12 Motion Offense/12 Motions/,12 | Pass Down - Pick Down,183,Pass Down Pick Down
Offense/21-12 Motion Offense/12 Motions/,12 | Weave,183,The Weave Motion consists of consecutive pass down pick downs to opposite sides.
Offense/21-12 Motion Offense/12 Motions/,12 | Wing Dodge - Fade - Cut The Middle,183,Although most 21-12 dodges are from the 1 position because wing dodges from the 2 are hard to keep symmetrical -  the Wing Dodge - Fade - Cut the Middle is the midfield motion used in the Cuse Offense with an added attackman.
Offense/Set Plays/,1-4-1 Double Mumbo,,This play is designed to give your best shooters a step-down shot from 8-10 yards
Offense/Set Plays/,1-4-1 Double Mumbo to Weave,,This play is designed to give your best shooters a step-down shot from 8-10 yards
Defense/Defending 2 Man Games/,Defending The Picking Game,,"An overview of the methodology of defending a shallow cut.
1) Just play defense - 
2) Slide and Rotate -"
Defense/Communication and Responsibilities/,1 on Crease - Swing Communication and Responsibility.,,The players communicate their responsibilities as the ball is passed around the field.
Offense/Set Plays/,1-4-1 AT,,A great set play with many reads and looks.
Defense/Communication and Responsibilities/,2 on Crease - Swing Communication and Responsibility.,,The players communicate their responsibilities as the ball is passed around the field.
Box/Box Offense/5 Man Weave/,5 Man Weave - Pass into Pick,,This is the 5 Man Weave Offense
Offense/Set Plays/,Butterfly,,This is a simple pick or dodging play that should free up an player slipping to the cage.
Defense/Defending 2 Man Games/,Defending a Shallow Cut,,"An overview of the methodology of defending a shallow cut.
1) Just play defense - 
2) Slide and Rotate -"
Defense/Defending 2 Man Games/,Doubling Picks Behind The Goal,,"An overview of how to double picks behind the goal and pull the goalie to cover the 2nd player.
1) Double the Pick
2) Pull the Goalie to cover the other player."
Defense/Communication and Responsibilities/,Open - Swing Communication and Responsibility.,,The players communicate their responsibilities as the ball is passed around the field.
Box/Box Man Up/,Rush Play - Power Play - Righty Finish,,A multi look play by the Rush - All Looks.
Box/Box Man Up/,Up Pick Nations - Righty Finish,,A simple Man Up Play.
Defense/Defending the 1-4-1/,Defending 1-4-1 Double Mumbo’s Play,,"Defending the 1-4-1 set is a difficult task because the 4 perimeter players create long distances for sliding and recovering.

The 1-4-1 Double Mumbo play is a favorite of coaches.  It can be run as a set piece -  or as a precursor to a weave motion.  We both in this example."
Defense/Defending the 1-4-1/,Defending 1-4-1 Isolation Dodges,,"Defending the 1-4-1 set is a difficult task because the 4 perimeter players create long distances for sliding and recovering.

In this example -  we will outline how we would like to defend isolation dodges.  As a simple rule -  we will most likely slide and recover from the crease."
Defense/Defending the 1-4-1/,Defending Wing Picks in 1-4-1,,"Defending the 1-4-1 set is a difficult task because the 4 perimeter players create long distances for sliding and recovering.

In this example -  we will outline how we would like to slide to a wing pick that works."
Defense/RIT House and 1 Zone/,RIT House and 1 Zone Idea,,RIT’s House and 1 Zone combines a House Man Down Defense with a single crease player inside.
Defense/RIT House and 1 Zone/,RIT Zone - Defending Cutters and Poppers,,As off ball players enter and exit the crease area -  the tiger must let house players know that the player he is defending is moving off the crease.  Likewise -  perimeter players must communicate to the Tiger that a player is moving to the crease for them to cover.  HOUSE Players must cover backside cutters until they know the Tiger has taken responsibility to cover them.
Defense/RIT House and 1 Zone/,RIT Zone - Playing X Options,,"There are any options to play the ball at X depending on what you’d like to do with personnel. I don’t like the idea of leaving a player at X to look back up through the field -  but you may want to hold the pipes.

Rules
1) If you need to help and rotate -  do it.
2) The 1 and 3 Zones should be the primary players playing the wings."
Defense/RIT House and 1 Zone/,RIT Zone Base,,"This diagram depicts the perimeter zones occupied by the House Players.  The 
1 Zone is Red -  
2 Zone is Orange -  
3 Zone is Grey -  
6 Zone is Yellow 
4 Zone is Green

All of these zones will help backside on the crease and rotate to mitigate threats."
Defense/RIT House and 1 Zone/,RIT Zone Rules (Pass and Rotate),,"When a ball carrier took the ball from one zone to the other -  the players in the House would pass the player off like a zone and then rotate if necessary behind them.

This is a play that Union used often."
Defense/RIT House and 1 Zone/,RIT Zone vs 2-3-1 - Holding the Pipes,,As the ball swings in a 2-3-1 -  we have the option to play the ball at X.  If we don’t want to play the ball at X as the ball is swinging -  the 4 and 6 zones will hold their positions.
Defense/RIT House and 1 Zone/,RIT Zone vs 2-3-1 - Pressing at X,,As the ball swings in a 2-3-1 -  we have the option to play the ball at X.  If we want to put pressure on -  who will play it will depend on whether the ball side low zone got pulled to the wing or not.  In this example -  the low zone gets pulled up and the opposite side moves to play the ball at X.
Defense/RIT House and 1 Zone/,RIT Zone vs 2-3-1 - Rotate to X,,As the ball swings in a 2-3-1 -  we have the option to play the ball at X.  If we don’t want to play the ball at X as the ball is swinging -  the 4 and 6 zones will hold their positions.
Defense/RIT House and 1 Zone/,RIT Zone vs 3-1-2 Carry Step Off to Open (Rotate),,"When a ball carrier took the ball from one zone to the other -  the players in the House would pass the player off like a zone and then rotate if necessary behind them.

This is a play that Union used often."
Defense/RIT House and 1 Zone/,RIT Zone vs 3-1-2 Swing,,This diagram shows how the RIT House and 1 Zone matches up against a 3-1-2 swinging the ball.
Box/Box Offense/Wing Pairs and 1/,Wing Pairs and 1,,This is an experimental offense used to create a new type of set
Box/Box Offense/Wing Pairs and 1/,Wing Pairs and 1 - No CTM,,This is an experimental offense used to create a new type of set
Offense/Set Plays/,Army - Inbounds Play,,The Army inbounds play is a carry throw back on board with a seal and cut inside and up top.
Offense/How to Beat a Zone/Schemes/Set Plays/,3 Man Gears,,This is a play in the 1-4–1 carry step off offense.
Offense/How to Beat a Zone/Schemes/Set Plays/,Bull Dog Set Play,,This is a play in the 1-4–1 carry step off offense.
Offense/How to Beat a Zone/Beat Your Man and Score/,1-3 Zone - Beat Your Man,,This is a play in the 1-4–1 carry step off offense.
Man Up & Man Down /Base Swings/,1-4-1 Man Up Swing,,1-4-1 Man Up Swing
Offense/2 Man Ideas/Without Ball 2 Man/Draft Cut/,2 Man Game - Draft Cut,,A “Draft Cut” is when a player Cuts in the wake of another Cut.
Offense/2 Man Ideas/With Ball 2 Man/Fade/,2 Man Game - Fade,,"2 Man Game Concept - Fade / Drift

Players will fade to create space for when the dodger is running at them.  They will move on the edge of dangerous space and their defenseman will be in a tough decision of whether they should slide or not.  

The dodger should try to turn the corner and get to the middle of the field -  throw fakes to keep the slide away -  and pass if the slide comes."
Offense/2 Man Ideas/With Ball 2 Man/Give and Go,2 Man Game - Give and Go,,"2 Man Game Concept - Give and Go.

One player will pass to another and then cut to the goal."
Offense/2 Man Ideas/With Ball 2 Man/Mirror/,2 Man Game - Mirror,,"2 Man Game Concept - Mirror

A player on the crease executes a mirror by moving to the opposite the dodge.  The mirror works well because it puts a defensive player in a prime positon to slide."
Offense/2 Man Ideas/Without Ball 2 Man/Mumbo/,2 Man Game - Mumbo,,A Mumbo is when an off ball offensive player seals their own Man into the Middle of the field for a player popping off the crease around them.
Offense/2 Man Ideas/Without Ball 2 Man/Off Ball Pick/,2 Man Game - Off Ball Pick,,An “Off Ball Pick” happens when an off ball player impedes the Motion off an off ball player to create space for a teammate.
Offense/2 Man Ideas/With Ball 2 Man/Overlap/,2 Man Game - Overlap - Flip / Fake Flip,,"2 Man Game Concept - Overlap

An overlap is when the off ball player creates space by running to the outside of the ball carrier.  This is dangerous because the off-ball defenseman can execute a ""Free Double"" if the offensive players are not elusive.  A free double happens when an off-ball player can double the ball while being in a good off-ball position on their man."
Offense/2 Man Ideas/With Ball 2 Man/Picks/,2 Man Game - Pick,,"2 Man Game Concept - Pick

A pick is used to create an advantage for the ball carrier or the off ball players.  The off-ball player will stand still in the way of the on-ball defenseman.  The on ball defenseman will need to try to get around the pick and the off-ball player must decide whether the on ball player needs help."
Offense/2 Man Ideas/Without Ball 2 Man/Seal/,2 Man Game - Seal,,A seal is when an off ball offensive player impedes the movement of the defenseman off another off ball player.
Offense/2 Man Ideas/With Ball 2 Man/Carry Shallow Cut/,2 Man Game - Shallow Cut,,A shallow cut creates space for the dodger by moving under the dodge.  This helps to keep his defenseman away from the dodger.
Offense/2-2-2 Set/Top/,2-2-2 - 1 Top - Adjacent Slide,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.
Offense/2-2-2 Set/Top/,2-2-2 - 1 Top - Dodge,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.
Offense/2-2-2 Set/Top/,2-2-2 - 1 Top - Dodge Fade & Swing,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.
Offense/2-2-2 Set/Top/,2-2-2 - 2 Dodge - Pick,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.
Offense/2-2-2 Set/Top/,2-2-2 - 3 Top - Pick,,2-2-2 Top is how we will initiate from up top out of the 2-2-2.
Offense/2-2-2 Set/Sides/,2-2-2 - Sides,,2-2-2 sides is a wing picks and fades set.
Offense/2-2-2 Set/,2-2-2 - Swing,,Top - is a 2-2-2 initiation where the players up top set the initial pick.
Offense/2-2-2 Set/Center/,2-2-2 Center - Up Picks,,Center is a set we will pick from the inside out on separate sides.
Man Up & Man Down /Man Up/Quick Hitters/,2-2-2 Quick,,2-2-2 Quick is Quick passing + off-ball seal + timed cut = Lots of goals.
Man Up & Man Down /Base Swings/,2-2-2 Swing,,2-2-2 Swing
Man Up & Man Down /Man Up/2-3-1 Curl from X/,2-3-1 Curl From X - Draw and Dump,,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl draws the low zone and dumps to the wing for a step down."
Man Up & Man Down /Man Up/2-3-1 Curl from X/,2-3-1 Curl From X - Fake and Curl,,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl fakes a pass to the wing to keep the defenseman away and curls the side."
Man Up & Man Down /Man Up/2-3-1 Curl from X/,2-3-1 Curl From X - Give and Go,,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl from x will pass to the wing early to keep the low right zone on the wing -  receive a pass back as he curls -  catch and score."
Man Up & Man Down /Man Up/2-3-1 Curl from X/,2-3-1 Curl From X - No Look Skip,,"2-3-1 Curl From X is the first form of teaching an overload to young players.

In this look -  the curl draws the low zone and looks at the wing to draw the top zone to the wing and passes to the top right player cutting behind the top right zone."
Man Up & Man Down /Base Swings/,2-3-1 Swing,,2-3-1 Man Up Swing
Offense/21-12 Motion Offense/21 Rotations/,21 | Backside Exchange,,The 21 Backside Exchange keeps the ball side outlet in front of the dodger for an easy redirect to the player poping off the crease.
Offense/21-12 Motion Offense/21 Motions/,21 | Dodge - Flare,,Flares are a backside seal and pop to the top o the field.  It’s like a Mumbo -  but to the top.
Offense/21-12 Motion Offense/21 Motions/,21 | Dodge - Follow - Float,,The dodge -  follow -  float motion is the primary dodging motion in the triangle offense.  It’s simplicity makes it easy for players to understand when paired with the sweep - fade - float motion.
Offense/21-12 Motion Offense/21 Motions/,21 | Dodge - Mirror - Fade,,Dodge - Mirror - Fade is a 2 man mirror motion with a backside fade.
Offense/21-12 Motion Offense/21 Motions/,21 | Sweep - Fade - Float,,The sweep -  fade -  float motion is the primary dodging motion in the triangle offense.  It’s simplicity makes it easy for players to understand when paired with the dodge - follow - float motion.
Offense/21-12 Motion Offense/21 Motions/,21 | Sweep - Pick - Float,,The Sweep -  Pick -  Float motion used a top center pick and float from the crease.
Offense/21-12 Motion Offense/21 Motions/,21 | Sweep - Shallow Cut - Float,,The sweep -  shallow cut -  float motion can easily be paired with the dodge follow float motion so that the high player will always moves to the middle and the crease will always move to the backside.
Offense/21-12 Motion Offense/21 Rotations/,21 | Turbo Cut,,The 21 Backside Exchange is dangerous against crease slides because the player who is supposed to slide ends up defending the next dodge.
Offense/21-12 Motion Offense/21 Motions/,21 | Up Pick and Fade,,This motion uses an up pick from the crease and a fade from the opposite top player.  The dodger can dodge down the alley or sweep.
Offense/LaxCon 2022 Presentation Examples/,21-12 Lax Con Example,,Lax Con 21-12 Example Walk Through
