name,type,Id,Content
Hands Free Dodges,offense,73,What are Hands Free Dodges in Lacrosse? An overview of 3 popular Hands Free Dodges in Lacrosse.&nbsp;A video addition to “The Player and Parents Guide to Lacrosse&#8221;by Patrick Chapla.
Hopkins 3-3 Wheel and Seal Man Up Play,,163,Hopkins uses a 3-3 4 Man Side Wheel to set up a double seal for the freshman phenom Joey Epstein.
House Zone Man Down Defense,defense;man-down,75,Virginia&#8217;s House Zone killed it in the 2019 NCAA Tournament. We overview the strategy!
How to Beat Zone Defense,offense,76,This is an in-depth video about how to beat zone defenses and it includes all of the other videos referencing offense against zone defense.
How to Catch in Lacrosse,,164,Patrick teaches the proper technique of how to catch in lacrosse and gives drills that you can do at home. 
How to Do a Step Back Throw Back,offense,133,An overview of Step Back Throw Back technique and drills to work on at home!
How to Do Hidden Ball Tricks,offense; set-plays,78,Learn to execute Hidden Ball Tricks like a PRO!<br />
How to Pass in Lacrosse,,165,Patrick teaches proper passing techniques and drills you can do at home.
How to Pick Up Ground Balls in Lacrosse,,166,Patrick teaches the proper technique of how to pick up ground balls and gives three drills you can use to practice at home
How to Shoot in Lacrosse,,167,"Patrick teaches technique and drills for how to shoot in tight, with time and room, and on the run!"
How to Shoot In Tight in Lacrosse,,168,Patrick teaches techniques of shooting in tight and drills you can use to practice at home.
How to Shoot On The Run in Lacrosse,,169,Patrick teaches how to shoot on the run and drills you can do to perfect your technique at home.
How to Shoot with Time and Room in Lacrosse,,170,Patrick teaches time and room shooting techniques and drills you can use to practice at home.
How to Switch Hands in Lacrosse,,171,Patrick how to switch hands efficiently and drills to do at home.
How to Throw Fakes in Lacrosse,,172,Patrick teaches faking techniques and how to practice them at home!
Jim Berkman's 10 Recruiting Tips,,5,Coach Berkman talks through 10 things to you can do to during the recruiting process.
Jumping The Ball Man Down Defense,defense; man-down,85,Surprise your opponent by setting a specific player to anticipate and apply heavy pressure on your man down set!
L Fast Break,,173,Tried and True&#8230;The &#8220;L&#8221;Fast Break is simple and effective.
Man Down Clear,clearing;man-down,90,An overview of strategies when clearing while man down.
Man Down Face Off,face-offs;man-down,91,A look at the strategy behind facing off man down.
Man Down Restart Trick Plays,clearing;man-down,93,Easily get out of doubles and clear the ball during restarts while man down using these simple steps!
My Favorite Dodges for Attackmen,offense,95,These are my favorite dodges for Attackmen. &nbsp;An overview of 3 popular Attack Dodges in Lacrosse.
Near Man Defense,defense; man-to-man,98,This man to man defensive strategy combines the strategies of crease and adjacent slide packages in order to create a sliding system that is easier to teach and more instinctive for players on the field.
North South Dodges,offense,101,An overview of North-South Dodges.
North-South Dodging Footwork,,99,An evaluation of the footwork used in North-South Dodges to change directions and speeds to gain separation!
Ohio State Pairs Offense,offense; motion-offense,103,An overview of the Ohio State Pairs Offense that destroyed Denver in 2017!
Ohio State Pairs Offense in 5 Minutes,offense,102,This is a video of the Ohio State pears offense in very quick fashion.
Penn State Offense,offense,12,"Led by, 2019 Tewaaraton Award Finalist and record setting distributor Grant Ament (1) and sniper Mac O’Keefe (3), Penn State scored 17.94 goals per game and had the #1 offense in 2019. Although the performance of Ament and O’Keefe drew the headlines, neither would have achieved nearly as much without the exceptional play of: Dylan Foulds (14), Nick Spillane (13), Jack Kelly (25), TJ Malone (7), and a few others. Anytime the defense gave Ament or O’Keefe too much room they would get burned. When the defense adjusted to help cover Ament or O’Keefe the others would capitalize. The six players were like piranhas, combining to be nearly unstoppable."
Picking vs Zone Defense,offense,106,This video explores the benefits of using picks when the defense is playing in a zone.
Picks Behind Offense,offense,107,Penn States Picks Behind Offense
Power 1 Midfield Play (21-12),offense;motion-offense;set-plays,109,The Power 1 Midfield Play is a set play that uses a misdirection pick or a double pick to produce a step down shot from 8-10 yards by creating a skip lane or a shot on the run with a sweep by picking the switch.
Pushin P (Pressure) Man Down Defense,defense;man-down,110,Corner Canyon killed us by applying pressure on Man Down. We liked it so much that we took it!
Reading Man Down Defense in a 3-3,man-up,112,This is an in-depth exploration of how to read the man down defense when your team is in a 3-3 formation on man up.
Recruiting Anxiety,,113,"A look at the stressful lacrosse recruiting landscape, misconceptions that create a ton of anxiety for ambitious high school players, and a few ways to reorient our perspective."
RIT's Championship Tiger Zone,defense; zone-defense,114,"After falling to a 7-2 deficit in the 2nd quarter, The Rochester Institute of Technology (RIT) used a House and 1 Zone to switch up the tempo and ultimately with the 2022 DIII National Championship against Union. This video and PDF will overview the zone they used."
Running The Box (Substitutions),,115,"Running the box is a thankless task, but when it&#8217;s done properly is as fluid as the game itself. Learn how to integrate substitution into your complete game plan."
Rutgers 3-3 Flip and Swing Man Up Plays,man-up,117,"The Rutgers Flip and Swing Man Up Plays were used to score two goals in their win over Ohio State in 2019. The plays used a flip, quick ball movement, and off ball motion to exploit Ohio State&#8217;s 5 Man Rotation."
Rutgers Set Play (21-12),offense;set-plays,118,"This simple and effective motion incorporates a dodge, ball reversal, and draft cut to help you score goals in those all important moments!"
Salisbury Low Shallow Cut Offense vs Zone Defense,offense,121,Salisbury used an open set with low shallow cuts to draw the zone out of position and cut behind ball watching players!
Side 3v2 vs Zone Defense,offense,31,"This is a video about utilizing the three on twos on the sides of the field when playing against a zone defense. So it's a concept for beating zone defenses, it can be a strategy in and of itself."
Slow Break Offense,transition-o-d,127,The best time to attack a defense is before it get set up. This slow break sets up your offense fluidly while can pushing the tempo during the first 10 seconds of a possession.
Subbing Through The Midline,clearing,134,This gives you a huge advantage if you can keep your opponents offense of personnel on the field!
Technical Fouls of Lacrosse,,181,Educational video explaining technical fouls.
The Riding Playbook,riding,138,"How do we want our players to ride within the 3-3 Deep Zone Ride, 2 Down Windshield Wiper Ride, Goalie Ride, and Zero Ride."
Trailer Fast Break (5v4),transition-o-d,141,"Transition opportunities come in all shapes and sizes. This 5v4 break can be tough for players to recognize, but once they see the advantage, it&#8217;s hard to stop."
Trick Man Down Clear,clearing;man-down,92,Use substitutions to free up a midfielder on a man down dead ball clear.
Types of 2 Man Games,offense; 2-man-game,145,An overview of all the different types of 2 Man Games
UNC's 3 Man Slow Break Offense,offense; transition-o-d,146,This Slow Break Offense will allow you to get your offensive personnel on the field while creating strong hand feed and finish looks!
Virginia's 2-2-2 from X,offense,149,A staple in Virginia&#8217;s 2019 National Championship run! This is the play they used to beat Maryland and Duke in OT and used it to score 5 times in the National Championship against Yale!
Virginia's 2-2-2 From X - Players Cut,offense;set-plays,182,Players version of Virginia's 2-2-2 From X
Virginia's Man Up Motions into a 3-3,man-up,148,Virginia’s Man Up Offense is an excellent example of how using simple motions to put playmakers in the right positions can be all you need.
Weave and Mumbo Box Offense,offense,150,The Weave and Mumbo Box Lacrosse Offense is a simple motion offense based on the Duke Fade and Follow Offense. It&#8217;s easy for players to remember and creates a ton of great shooting opportunities!
Wesleyans National Championship Zone Defense,defense;zone-defense,151,Learn the ins and outs of Wesleyan’s 2018 National Championship 3-3 Zone Defense!
What are North South Dodges?,offense,100,"This video explains what north south Dodgers are, essentially these are Dodgers that begin on the perimeter of the field, where the dodger runs at the defenseman. So north is the perimeter of the field, south is the Crea area in front of the Goal."
What Is Lacrosse,,129,"I feel that the game is more than the rules and regulations. I tried to convey the soul of our game in all of its forms and honor it’s traditions while emphasizing that everyone can utilize their unique gifts. The game sells itself, but perhaps this will entice a few more families into joining our community."
Wheel Rotations vs Zone Defense,offense,116,Wheel Rotations can be used to draw players in zones out of position so that we can create great offensive chances.
Wild Cat Trap Zone Defense,defense,153,The Wild Cat Trap Zone Defense takes the traditional 3-3 Zone formation but flips the principles on their heads.
Wind Up Dodging in Lacrosse,offense,97,What are wind up dodges in lacrosse? An overview of popular wind up dodges in lacrosse.  Wind up Dodgers are Dodgers where the player will wind up like they're going to shoot and then dodge when the defender flinches.
"Womens Lacrosse : How to Cradle, Switch Hands, and Catch",,155,"Understanding how to cradle, switch hand, and catch with a womens stick vs a mens stick will allow for womens players to utilize all of the mens lacrosse skill content."
Womens Sticks: All the Skills Transfer,,156,New technology has created women&#8217;s lacrosse sticks with nearly the same control as men&#8217;s sticks. Girls looking to play box lacrosse or pickup lacrosse with the boys should know that the skills they build will transfer to the new sticks.
Yale Bulldog Set Play vs Zone Defense,offense;set-plays,159,Yale ran this play vs Loyola’s Zone Defense
You're Ruining Reps with Greasy Balls! The POWLAX Greaser Expirament,,174,All those old balls are ruining reps in practice. Get rid of them and upgrade to ECD Mint or Pearl X&#8217;s.
