ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,_gamipress_points_condition,_gamipress_points_required,_gamipress_points_type_required,_gamipress_rank_type_required,_gamipress_rank_required,_gamipress_post_type_required,_gamipress_user_role_required,_gamipress_meta_key_required,_gamipress_meta_value_required,_gamipress_count,_gamipress_limit,_gamipress_limit_type,_gamipress_trigger_type,_gamipress_achievement_type,_gamipress_optional,_gamipress_url,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
34546,"Earn 25 Lax IQ Points",,,"2025-01-15 18:18:01",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34546,,,,,,,,greater_or_equal,25,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34546-2,,,34545,25-lax-iq-points,0,closed,closed,"2025-01-15 18:18:16"
34555,"Earn 30 Lax IQ Points",,,"2025-01-15 18:18:49",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34555,,,,,,,,greater_or_equal,30,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34555-2,,,34547,30-lax-iq-points,0,closed,closed,"2025-01-15 18:19:00"
34556,"Earn 35 Lax IQ Points",,,"2025-01-15 18:19:12",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34556,,,,,,,,greater_or_equal,35,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34556-2,,,34548,35-lax-iq-points,0,closed,closed,"2025-01-15 18:19:27"
34557,"Earn 40 Lax IQ Points",,,"2025-01-15 18:19:45",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34557,,,,,,,,greater_or_equal,40,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34557-2,,,34549,40-lax-iq-points,0,closed,closed,"2025-01-15 18:19:56"
34558,"Earn 45 Lax IQ Points",,,"2025-01-15 18:21:09",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34558,,,,,,,,greater_or_equal,45,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34558-2,,,34550,45-lax-iq-points,0,closed,closed,"2025-01-15 18:21:22"
34559,"Earn 50 Lax IQ Points",,,"2025-01-15 18:21:30",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34559,,,,,,,,greater_or_equal,50,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34559-2,,,34551,50-lax-iq-points,0,closed,closed,"2025-01-15 18:21:46"
34560,"Earn 55 Lax IQ Points",,,"2025-01-15 18:21:59",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34560,,,,,,,,greater_or_equal,55,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34560-2,,,34552,55-lax-iq-points,0,closed,closed,"2025-01-15 18:22:22"
34561,"Earn 60 Lax IQ Points",,,"2025-01-15 18:22:46",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34561,,,,,,,,greater_or_equal,60,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34561-2,,,34553,60-lax-iq-points,0,closed,closed,"2025-01-15 18:22:58"
34562,"Earn 65 Lax IQ Points",,,"2025-01-15 18:23:23",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34562,,,,,,,,greater_or_equal,65,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34562-2,,,34554,65-lax-iq-points,0,closed,closed,"2025-01-15 18:23:46"
34564,"Earn 70 Lax IQ Points",,,"2025-01-15 18:24:34",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34564,,,,,,,,greater_or_equal,70,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34564-2,,,34563,70-lax-iq-points,0,closed,closed,"2025-01-15 18:24:46"
34566,"Earn 75 Lax IQ Points",,,"2025-01-15 18:25:15",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34566,,,,,,,,greater_or_equal,75,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34566-2,,,34565,75-lax-iq-points,0,closed,closed,"2025-01-15 18:25:26"
34568,"Earn 80 Lax IQ Points",,,"2025-01-15 18:25:43",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34568,,,,,,,,greater_or_equal,80,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34568-2,,,34567,80-lax-iq-points,0,closed,closed,"2025-01-15 18:25:56"
34570,"Earn 85 Lax IQ Points",,,"2025-01-15 18:26:13",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34570,,,,,,,,greater_or_equal,85,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34570-2,,,34569,85-lax-iq-points,0,closed,closed,"2025-01-15 18:26:25"
34572,"Earn 90 Lax IQ Points",,,"2025-01-15 18:26:45",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34572,,,,,,,,greater_or_equal,90,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34572-2,,,34571,90-lax-iq-points,0,closed,closed,"2025-01-15 18:26:59"
34574,"Earn 95 Lax IQ Points",,,"2025-01-15 18:27:27",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34574,,,,,,,,greater_or_equal,95,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34574-2,,,34573,95-lax-iq-points,0,closed,closed,"2025-01-15 18:27:38"
34576,"Earn 100 Lax IQ Points",,,"2025-01-15 18:28:19",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34576,,,,,,,,greater_or_equal,100,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,earn-points,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34576-2,,,34575,100-lax-iq-points,0,closed,closed,"2025-01-15 18:28:34"
34594,"Reach a balance greater or equal to 105 Lax IQ Points",,,"2025-01-15 19:46:29",rank-requirement,https://powlax.com/?post_type=rank-requirement&p=34594,,,,,,,,greater_or_equal,105,lax-iq-point,lacrosse-player-type,0,,administrator,,,1,1,unlimited,points-balance,,0,,publish,1,powlax,patrick@powlax.com,Patrick,Chapla,34594-2,,,34593,105-lax-iq-points,0,closed,closed,"2025-01-15 19:46:54"
