,,,,This column denotes where the drills will take place.   Please add a section for “Location of Drills:” to the practice description and list the names of each location.,These columns denote which equipment a player will need to do the training that day.  Please add a section for “Equipment Needed:” into the practice description and list the names of what is needed. ,,,,,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Attack 7,Attack 8,Attack 9,Attack 10,Attack 11,Attack 12,Midfield 12,Midfield 11,Midfield 10,Midfield 9,Midfield 8,Midfield 7,Midfield 6,Midfield 5,Midfield 4,Midfield 3,Midfield 2,Midfield 1,,,,,,,,Defense 1,Defense 2,Defense 3,Defense 4,Defense 5,Defense 6,Defense 7,Defense 8,Defense 9,Defense 10,Defense 11,Defense 12
Face Dodge,Foot Fire Single Jab Face Dodge to Roll Back Drill,https://vimeo.com/995813809,<p>Foot Fire Single Jab Face Dodge to Roll Back Drill</p><br>,North South Dodge,X,X,X,,,,,,,,,,,,,,,,,13,13,,,15,,,,,,"<iframe src=""https://player.vimeo.com/video/995813809"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,A,,,,,,,,,,,,
Face Dodge,Up to Pass Face Dodge Drill,https://vimeo.com/994566727,<p>Up to Pass Face Dodge Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"<iframe src=""https://player.vimeo.com/video/994566727"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,F,F,,,,,,,,,,,,
Face Dodge,Wind Up Face Dodge to Shin Cradles,https://vimeo.com/1000143512,<p>Wind Up Face Dodge to Shin Cradles</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,9,,,,,,,,,15,"<iframe src=""https://player.vimeo.com/video/1000143512"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,F,F,,,,,,,,,,,,
Face Dodge,Wind Up Face Dodge to Shot Drill,https://vimeo.com/995816196,<p>Wind Up Face Dodge to Shot Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,11,,,,12,8,,,,17,"<iframe src=""https://player.vimeo.com/video/995816196"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Faking,“Talk To - Listen To” Top Hand Fake Drill,https://vimeo.com/997569552,<p>“Talk To - Listen To” Top Hand Fake Drill</p><br>,Front of Goal,X,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,"<iframe src=""https://player.vimeo.com/video/997569552"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 1,F,F,F,,,,,,,,,,,,
Faking,Bottom Hand Fake Drill,https://vimeo.com/997569605,<p>Bottom Hand Fake Drill</p><br>,Front of Goal,X,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,"<iframe src=""https://player.vimeo.com/video/997569605"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 4,F,F,F,,,,,,,,,,,,
Faking,Fake Far Finish Near Drill,https://vimeo.com/997569734,<p>Fake Far Finish Near Drill</p><br>,Front of Goal,X,X,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/997569734"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Faking,Fake Near Finish Far Drill,https://vimeo.com/997569673,<p>Fake Near Finish Far Drill</p><br>,Front of Goal,X,X,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/997569673"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,F,,,,,,,,,,,,
Faking,Fake The Slide Away Dodging Drill,https://vimeo.com/997569758,<p>Fake The Slide Away Dodging Drill</p><br>,Front of Goal,X,X,,,,,,,,,,,,,,,,,,,,,15,,,,,,,"<iframe src=""https://player.vimeo.com/video/997569758"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,F,,,,,,,,,,,,
Faking,Far Side Fake Drill,https://vimeo.com/997569702,<p>Far Side Fake Drill</p><br>,Front of Goal,X,X,,,,,,,,,,,,,,,,,,6,4,,,,,,12,,,"<iframe src=""https://player.vimeo.com/video/997569702"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 3,F,S,F,,,,,,,,,,,,
Faking,Near Side Fake Drill,https://vimeo.com/997569634,<p>Near Side Fake Drill</p><br>,Front of Goal,X,,,,,,,,,,,,,,,,,,,4,2,,,,,,11,,,"<iframe src=""https://player.vimeo.com/video/997569634"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Technique 2,F,S,F,,,,,,,,,,,,
Fast Break Drills,Fast Break - Back Pipe Cross Crease Cut Drill,https://vimeo.com/1005105857,<p>Fast Break - Back Pipe Cross Crease Cut Drill</p><br>,Bounce Back or Partner - Back Pipe,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105857"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,"Fast Break - Low, Catch to Up the Hash Shot on the Run Drill",https://vimeo.com/1005105382,"<p>Fast Break - Low, Catch to Up the Hash Shot on the Run Drill</p><br>",Bounce Back or Partner - Low,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105382"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,"Fast Break - Low, Catch to Up the Hash Time and Room Shot Drill",https://vimeo.com/1005105608,"<p>Fast Break - Low, Catch to Up the Hash Time and Room Shot Drill</p><br>",Bounce Back or Partner - Low,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105608"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,"Fast Break - Low, Up The Hash, Catch, Protect, and Turn The Corner Drill",https://vimeo.com/1005105643,"<p>Fast Break - Low, Up The Hash, Catch, Protect, and Turn The Corner Drill</p><br>",Bounce Back or Partner - Low,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105643"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,Fast Break - Point Catch and Fire Drill,https://vimeo.com/1005105696,<p>Fast Break - Point Catch and Fire Drill</p><br>,Bounce Back or Partner - Point,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105696"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,"Fast Break - Point Catch, Hitch, Shoot on the Run Drill",https://vimeo.com/1005105748,"<p>Fast Break - Point Catch, Hitch, Shoot on the Run Drill</p><br>",Bounce Back or Partner - Point,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105748"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,Fast Break - Point Pass to Low Drill,https://vimeo.com/1005105796,<p>Fast Break - Point Pass to Low Drill</p><br>,Bounce Back or Partner - Point,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105796"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,S,N/A,A,,,,,,,,,,,,
Fast Break Drills,"Fast Break - Skip to Low, Snively Catch and Finish Drill",https://vimeo.com/1005105960,"<p>Fast Break - Skip to Low, Snively Catch and Finish Drill</p><br>",Bounce Back or Partner - Low,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1005105960"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,S,N/A,A,,,,,,,,,,,,
Finishing From X,Inside Roll Dodging from X Drill,https://vimeo.com/1010351895,<p>Inside Roll Dodging from X Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010351895"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,S,N/A,A,,,,,,,,,,,,
Finishing From X,MJ Move Dodging from X Drill,https://vimeo.com/1010348045,<p>MJ Move Dodging from X Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010348045"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 7,S,N/A,A,,,,,,,,,,,,
Finishing From X,Post Up BTB Dodging from X Drill,https://vimeo.com/1010347922,<p>Post Up BTB Dodging from X Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347922"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,X,Drill 8,S,N/A,A,,,,,,,,,,,,
Finishing From X,Question Mark Shooting Drill,https://vimeo.com/1010347709,<p>Question Mark Shooting Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347709"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 6,S,N/A,A,,,,,,,,,,,,
Finishing From X,Question Mark Spot Training Drill,https://vimeo.com/1010347595,<p>Question Mark Spot Training Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347595"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 5,S,N/A,A,,,,,,,,,,,,
Finishing From X,Rocker Dodge From X Drill,https://vimeo.com/1010352117,<p>Rocker Dodge From X Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010352117"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,S,N/A,A,,,,,,,,,,,,
Finishing From X,Step Away Inside Roll on GLE Drill,https://vimeo.com/1010347237,<p>Step Away Inside Roll on GLE Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1010347237"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,S,N/A,A,,,,,,,,,,,,
Finishing From X,Step Away Turn The Corner - Island Finishing Drill,https://vimeo.com/1007664259,<p>Step Away Turn The Corner - Island Finishing Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007664259"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,S,N/A,A,,,,,,,,,,,,
Finishing From X,Up The Hash - Lever Shot Drill,https://vimeo.com/1007665612,<p>Up The Hash - Lever Shot Drill</p><br>,Dodging from Behind The Goal,X,X,X,,,,,,,,,,,,,,,,,,12,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/1007665612"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,X,Drill 8,S,N/A,A,,,,,,,,,,,,
Ground Balls,2 Hockey Pick Up Ground Ball Drill,https://vimeo.com/995813226,<p>2 Hockey Pick Up Ground Ball Drill</p><br>,Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<iframe src=""https://player.vimeo.com/video/995813226"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 5,S,F,A,,,,,,,,,,,,
Ground Balls,"Minnows Ground Ball Drill, Miss, Kick, Scoop",https://vimeo.com/995814739,"<p>Minnows Ground Ball Drill, Miss, Kick, Scoop</p><br>",Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"<iframe src=""https://player.vimeo.com/video/995814739"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 2,B,B,F,,,,,,,,,,,,
Ground Balls,"Minnows Ground Balls, Kiss The Stick Up to Pass Drill",https://vimeo.com/995814706,"<p>Minnows Ground Balls, Kiss The Stick Up to Pass Drill</p><br>",Anywhere,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"<iframe src=""https://player.vimeo.com/video/995814706"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,B,Drill 1,B,B,F,,,,,,,,,,,,
Ground Balls,Off Hand Wide Turn Ground Balls,https://vimeo.com/995816035,<p>Off Hand Wide Turn Ground Balls</p><br>,Around the Goal,X,X,,,,,,,,,,,,,,,,,,2,,2,2,,,2,2,,14,"<iframe src=""https://player.vimeo.com/video/995816035"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,F,F,,,,,,,,,,,,
Ground Balls,Strong Hand Wide Turn Ground Balls,https://vimeo.com/995816128,<p>Strong Hand Wide Turn Ground Balls</p><br>,Around the Goal,X,X,,,,,,,,,,,,,,,,,,1,,1,1,,,1,1,,12,"<iframe src=""https://player.vimeo.com/video/995816128"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,F,F,,,,,,,,,,,,
Hitch,Back Foot Hitch Drill,https://vimeo.com/998233304,<p>Back Foot Hitch Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,,,8,,,,,,"<iframe src=""https://player.vimeo.com/video/998233304"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 2,F,S,F,,,,,,,,,,,,
Hitch,Double Hitch Drill,https://vimeo.com/998233177,<p>Double Hitch Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,,,11,,,,,,"<iframe src=""https://player.vimeo.com/video/998233177"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 4,F,S,A,,,,,,,,,,,,
Hitch,Front Foot Hitch Drill,https://vimeo.com/998233385,<p>Front Foot Hitch Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,13,,7,9,,,15,,"<iframe src=""https://player.vimeo.com/video/998233385"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 1,F,S,F,,,,,,,,,,,,
Hitch,Pop to Hitch Drill,https://vimeo.com/998233057,<p>Pop to Hitch Drill</p><br>,Wing Right or Left,X,X,X,,,,,,,,,,,,,,,,,,,,,10,,,,,,"<iframe src=""https://player.vimeo.com/video/998233057"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,F,Drill 3,F,S,F,,,,,,,,,,,,
Individual Defense,4 Cone - Infinity Close The Gate Drill,https://vimeo.com/1003776563,<p>4 Cone - Infinity Close The Gate Drill</p><br>,Anywhere,X,,X,,,,,,,,,,,,,,,,,,,,,,,5,,,,"<iframe src=""https://player.vimeo.com/video/1003776563"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",,S,Drill 4,S,F,F,,,,,,,,,,,,
